id,split,uci_row_number,label,text,word_p_spam,word_pred,char_p_spam,char_pred,prediction_source,mean_p_spam,opposite_model_score,word_model_opposes,char_model_opposes,models_agree_opposite,opposite_neighbor_fraction,closest_opposite_id,closest_opposite_label,closest_opposite_similarity,neighbor_signal_opposes,automated_signal_count,neighbor_ids,neighbor_labels,neighbor_similarities
T0001,train,1,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0.0156073896791926,ham,0.0109857687625758,ham,5-fold-oof,0.0132965792208842,0.0132965792208842,False,False,False,0.0,,,0.0,False,0,H0263|T2459|H0948|H0038|H0732,ham|ham|ham|ham|ham,0.3429|0.2787|0.2643|0.2279|0.2279
T0002,train,2,ham,Ok lar... Joking wif u oni...,0.0152641813909543,ham,0.0068135293600389,ham,5-fold-oof,0.0110388553754966,0.0110388553754966,False,False,False,0.0,,,0.0,False,0,T4348|T1979|T2437|T1057|H0770,ham|ham|ham|ham|ham,0.3760|0.3756|0.3534|0.3390|0.3113
T0003,train,3,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,0.9009864068373494,spam,0.9330260698209458,spam,5-fold-oof,0.9170062383291476,0.08299376167085237,False,False,False,0.09819517277013087,T0547,ham,0.1602361886662229,False,0,H0378|H0610|T4156|T0550|T0547,spam|spam|spam|spam|ham,0.4297|0.4297|0.4237|0.1885|0.1602
T0004,train,4,ham,U dun say so early hor... U c already then say...,0.0060916880040989,ham,0.0040578610628157,ham,5-fold-oof,0.0050747745334573,0.0050747745334573,False,False,False,0.0,,,0.0,False,0,H0574|T3116|T2674|T1903|T1467,ham|ham|ham|ham|ham,0.3907|0.3815|0.3494|0.3234|0.2883
T0005,train,5,ham,"Nah I don't think he goes to usf, he lives around here though",0.0180786607122865,ham,0.0116003062181613,ham,5-fold-oof,0.0148394834652239,0.0148394834652239,False,False,False,0.0,,,0.0,False,0,H0206|T3476|T2009|T1740|T2290,ham|ham|ham|ham|ham,0.2387|0.2284|0.2207|0.2176|0.2044
T0006,train,6,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",0.2161057151538031,ham,0.3308907838397428,ham,5-fold-oof,0.2734982494967729,0.7265017505032271,True,True,True,0.5881960144188767,T1593,ham,0.17344180693599986,False,2,T3105|T1593|T3550|H0377|H0646,spam|ham|ham|spam|ham,0.1890|0.1734|0.1705|0.1687|0.1670
T0007,train,7,ham,Even my brother is not like to speak with me. They treat me like aids patent.,0.0176793171576151,ham,0.0163656048491071,ham,5-fold-oof,0.0170224610033611,0.0170224610033611,False,False,False,0.0,,,0.0,False,0,T4213|T2838|T0698|T4112|T2038,ham|ham|ham|ham|ham,0.2597|0.2513|0.2361|0.2308|0.2152
T0008,train,8,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0.0776587919982327,ham,0.0990877675081924,ham,5-fold-oof,0.08837327975321255,0.08837327975321255,False,False,False,0.0,,,0.0,False,0,H0706|H0344|T2976|T2538|T2127,ham|ham|ham|ham|ham,0.5602|0.5602|0.1823|0.1411|0.1409
T0009,train,9,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,0.965561330424324,spam,0.9773127283368674,spam,5-fold-oof,0.9714370293805957,0.02856297061940427,False,False,False,0.0,,,0.0,False,0,H0490|T3068|T3248|T4193|T0143,spam|spam|spam|spam|spam,0.6477|0.3818|0.3715|0.3715|0.3320
T0010,train,10,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,0.944844023930448,spam,0.9469365435107718,spam,5-fold-oof,0.9458902837206099,0.0541097162793901,False,False,False,0.0,,,0.0,False,0,T0266|T4368|H0548|T4090|T1830,spam|spam|spam|spam|spam,0.7249|0.7249|0.7249|0.7201|0.4922
T0011,train,11,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0.0214061130269279,ham,0.0120780324065005,ham,5-fold-oof,0.0167420727167142,0.0167420727167142,False,False,False,0.0,,,0.0,False,0,H1013|H0125|T3879|T0086|H0521,ham|ham|ham|ham|ham,0.2962|0.2892|0.2854|0.2649|0.2248
T0012,train,12,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",0.9858251116036952,spam,0.9829169381066902,spam,5-fold-oof,0.9843710248551927,0.015628975144807322,False,False,False,0.0,,,0.0,False,0,T3907|T2402|T0990|T1112|T3542,spam|spam|spam|spam|spam,0.2368|0.2368|0.1466|0.1466|0.1282
T0013,train,13,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",0.9860100782774636,spam,0.9730185658634828,spam,5-fold-oof,0.9795143220704732,0.020485677929526824,False,False,False,0.0,,,0.0,False,0,H0371|T3255|T4386|T2871|T3068,spam|spam|spam|spam|spam,0.1540|0.1529|0.1497|0.1495|0.1476
T0014,train,14,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0.0827566650574464,ham,0.0379664585318282,ham,5-fold-oof,0.0603615617946373,0.0603615617946373,False,False,False,0.0,,,0.0,False,0,H0768|T0926|H0630|T1779|T4261,ham|ham|ham|ham|ham,0.3529|0.2989|0.2683|0.2600|0.2593
T0015,train,15,ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0.0961869466370509,ham,0.0749528943343267,ham,5-fold-oof,0.08556992048568879,0.08556992048568879,False,False,False,0.0,,,0.0,False,0,T2116|T3713|T1275|T0436|T2488,ham|ham|ham|ham|ham,0.2582|0.2476|0.2372|0.2350|0.2350
T0016,train,16,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",0.723117658833619,spam,0.8738844391443614,spam,5-fold-oof,0.7985010489889902,0.20149895101100979,False,False,False,0.0,,,0.0,False,0,T1604|H0891|T0422|T3123|T3209,spam|spam|spam|spam|spam,0.2289|0.2165|0.2082|0.1956|0.1879
T0017,train,17,ham,Oh k...i'm watching here:),0.0133693497403178,ham,0.0052651941078925,ham,5-fold-oof,0.009317271924105149,0.009317271924105149,False,False,False,0.0,,,0.0,False,0,H0868|T0395|H0077|T1804|T1507,ham|ham|ham|ham|ham,0.4003|0.3687|0.3496|0.3343|0.3217
T0018,train,18,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0.014195502601563,ham,0.0161339289798068,ham,5-fold-oof,0.0151647157906849,0.0151647157906849,False,False,False,0.0,,,0.0,False,0,T2845|H0001|T1237|T2465|T3243,ham|ham|ham|ham|ham,0.2969|0.2846|0.2834|0.2813|0.2504
T0019,train,19,ham,Fine if thats the way u feel. Thats the way its gota b,0.0053522085142619,ham,0.005147019229506,ham,5-fold-oof,0.005249613871883951,0.005249613871883951,False,False,False,0.0,,,0.0,False,0,T0642|T1866|H0761|T1440|T3213,ham|ham|ham|ham|ham,0.3078|0.2253|0.2230|0.2163|0.2143
