cluster_id,id,split,label,uci_row_number,text
E0001,T0003,train,spam,3,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
E0001,T0942,train,spam,1164,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
E0002,T0008,train,ham,8,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
E0002,T0089,train,ham,104,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
E0002,T0131,train,ham,155,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
E0003,T0009,train,spam,9,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
E0003,T3446,train,spam,4282,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
E0004,T0010,train,spam,10,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
E0004,T3348,train,spam,4163,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
E0005,T0012,train,spam,12,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
E0005,T2597,train,spam,3230,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
E0006,T0013,train,spam,13,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
E0006,T4227,train,spam,5288,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
E0007,T0039,train,ham,46,No calls..messages..missed calls
E0007,T0271,train,ham,327,No calls..messages..missed calls
E0007,T1590,train,ham,1989,No calls..messages..missed calls
E0008,T0049,train,spam,57,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! "
E0008,T0401,train,spam,493,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
E0008,T1838,train,spam,2301,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
E0009,H0009,heldout,ham,58,"Sorry, I'll call later in meeting."
E0009,T3705,train,ham,4621,"Sorry, I'll call later In meeting."
E0010,T0054,train,ham,63,Its a part of checking IQ
E0010,T4198,train,ham,5244,Its a part of checking IQ
E0011,T0057,train,spam,66,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
E0011,T2741,train,spam,3402,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
E0012,H0010,heldout,ham,67,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
E0012,H0332,heldout,ham,1681,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
E0013,T0058,train,spam,68,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
E0013,T3573,train,spam,4451,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
E0014,T0069,train,ham,81,"Sorry, I'll call later"
E0014,T0188,train,ham,224,"Sorry, I'll call later"
E0014,T0283,train,ham,340,"Sorry, I'll call later"
E0014,T0367,train,ham,445,"Sorry, I'll call later"
E0014,T0569,train,ham,703,"Sorry, I'll call later"
E0014,T0623,train,ham,769,"Sorry, I'll call later"
E0014,T0915,train,ham,1133,"Sorry, I'll call later"
E0014,T0933,train,ham,1153,"Sorry, I'll call later"
E0014,T1194,train,ham,1486,"Sorry, I'll call later"
E0014,T1277,train,ham,1586,"Sorry, I'll call later"
E0014,T1526,train,ham,1903,"Sorry, I'll call later"
E0014,T1586,train,ham,1982,"Sorry, I'll call later"
E0014,T1591,train,ham,1990,"Sorry, I'll call later"
E0014,T1911,train,ham,2386,"Sorry, I'll call later"
E0014,T1965,train,ham,2448,"Sorry, I'll call later"
E0014,T2024,train,ham,2519,"Sorry, I'll call later"
E0014,T2028,train,ham,2523,"Sorry, I'll call later"
E0014,T2029,train,ham,2525,"Sorry, I'll call later"
E0014,T2128,train,ham,2647,"Sorry, I'll call later"
E0014,T2699,train,ham,3350,"Sorry, I'll call later"
E0014,T2714,train,ham,3367,"Sorry, I'll call later"
E0014,T2850,train,ham,3535,"Sorry, I'll call later"
E0014,T2900,train,ham,3595,"Sorry, I'll call later"
E0014,T3321,train,ham,4129,"Sorry, I'll call later"
E0014,T3358,train,ham,4174,"Sorry, I'll call later"
E0014,T3373,train,ham,4192,"Sorry, I'll call later"
E0014,T4158,train,ham,5194,"Sorry, I'll call later"
E0014,T4338,train,ham,5426,"Sorry, I'll call later"
E0014,T4366,train,ham,5461,"Sorry, I'll call later"
E0014,T4448,train,ham,5561,"Sorry, I'll call later"
E0015,T0072,train,ham,84,You will be in the place of that man
E0015,T0538,train,ham,659,You will be in the place of that man
E0015,T1883,train,ham,2352,You will be in the place of that man
E0016,T0074,train,ham,86,"I call you later, don't have network. If urgnt, sms me."
E0016,T1011,train,ham,1251,"I call you later, don't have network. If urgnt, sms me."
E0017,H0013,heldout,ham,93,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
E0017,H1042,heldout,ham,5228,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
E0018,H0014,heldout,spam,94,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
