cluster_id,cluster_size,member_ids,splits,labels,is_cross_split,has_label_conflict,normalized_text
E0001,2,T0003|T0942,train,spam,False,False,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question(std txt rate)t&c's apply 08452810075over18's
E0002,3,T0008|T0089|T0131,train,ham,False,False,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune
E0003,2,T0009|T3446,train,spam,False,False,winner!! as a valued network customer you have been selected to receivea £900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.
E0004,2,T0010|T3348,train,spam,False,False,had your mobile 11 months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030
E0005,2,T0012|T2597,train,spam,False,False,"six chances to win cash! from 100 to 20,000 pounds txt> csh11 and send to 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl 4 info"
E0006,2,T0013|T4227,train,spam,False,False,"urgent! you have won a 1 week free membership in our £100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18"
E0007,3,T0039|T0271|T1590,train,ham,False,False,no calls..messages..missed calls
E0008,3,T0049|T0401|T1838,train,spam,False,False,"congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out!"
E0009,2,H0009|T3705,heldout|train,ham,True,False,"sorry, i'll call later in meeting."
E0010,2,T0054|T4198,train,ham,False,False,its a part of checking iq
E0011,2,T0057|T2741,train,spam,False,False,"as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a £1500 bonus prize, call 09066364589"
E0012,2,H0010|H0332,heldout,ham,False,False,"today is ""song dedicated day.."" which song will u dedicate for me? send this to all ur valuable frnds but first rply me..."
E0013,2,T0058|T3573,train,spam,False,False,"urgent ur awarded a complimentary trip to eurodisinc trav, aco&entry41 or £1000. to claim txt dis to 87121 18+6*£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj"
E0014,30,T0069|T0188|T0283|T0367|T0569|T0623|T0915|T0933|T1194|T1277|T1526|T1586|T1591|T1911|T1965|T2024|T2028|T2029|T2128|T2699|T2714|T2850|T2900|T3321|T3358|T3373|T4158|T4338|T4366|T4448,train,ham,False,False,"sorry, i'll call later"
E0015,3,T0072|T0538|T1883,train,ham,False,False,you will be in the place of that man
E0016,2,T0074|T1011,train,ham,False,False,"i call you later, don't have network. if urgnt, sms me."
E0017,2,H0013|H1042,heldout,ham,False,False,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling!!
E0018,2,H0014|H0918,heldout,spam,False,False,please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed £1000 cash or £5000 prize!
E0019,2,H0015|H0171,heldout,spam,False,False,"your free ringtone is waiting to be collected. simply text the password ""mix"" to 85069 to verify. get usher and britney. fml, po box 5249, mk17 92h. 450ppw 16"
E0020,2,T0098|T0462,train,spam,False,False,gent! we are trying to contact you. last weekends draw shows that you won a £1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm
E0021,3,T0099|T0176|T0916,train,ham,False,False,"as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there."
E0022,2,T0103|T1681,train,spam,False,False,private! your 2004 account statement for 07742676969 shows 786 unredeemed bonus points. to claim call 08719180248 identifier code: 45239 expires
E0023,2,T0115|T1357,train,spam,False,False,sunshine quiz wkly q! win a top sony dvd player if u know which country the algarve is in? txt ansr to 82277. £1.50 sp:tyrone
E0024,3,T0118|T3282|T4074,train,ham,False,False,no no. i will check all rooms befor activities
E0025,2,T0136|T0994,train,spam,False,False,you are a winner u have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
E0026,2,T0145|T1574,train,ham,False,False,yes :)it completely in out of form:)clark also utter waste.
E0027,3,T0155|T2126|T3043,train,ham,False,False,hi! you just spoke to maneesha v. we'd like to know if you were satisfied with the experience. reply toll free with yes or no.
E0028,4,T0161|T0811|T3230|T3252,train,spam,False,False,please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed £1000 cash or £5000 prize!
E0029,2,T0166|T1893,train,ham,False,False,how are you doing? hope you've settled in for the new school year. just wishin you a gr8 day
E0030,3,H0031|H0152|H0727,heldout,ham,False,False,gud mrng dear hav a nice day
E0031,3,T0167|T0535|T3725,train,ham,False,False,did u got that persons story
E0032,2,T0173|T1179,train,ham,False,False,your account has been refilled successfully by inr &lt;decimal&gt; . your keralacircle prepaid account balance is rs &lt;decimal&gt; . your transaction id is kr &lt;#&gt; .
E0033,2,T0185|T0843,train,ham,False,False,easy ah?sen got selected means its good..
E0034,2,H0038|H0732,heldout,ham,False,False,yes:)here tv is always available in work place..
E0035,3,H0040|H0223|H0975,heldout,ham,False,False,"new theory: argument wins d situation, but loses the person. so dont argue with ur friends just.. . . . kick them &amp; say, i'm always correct.!"
E0036,2,T0201|T3494,train,spam,False,False,u 447801259231 have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094597
E0037,2,T0209|T0296,train,spam,False,False,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed & free entry 2 100 wkly draw txt music to 87066 tncs www.ldew.com1win150ppmx3age16
E0038,2,T0210|T3585,train,ham,False,False,ranjith cal drpd deeraj and deepak 5min hold
E0039,4,T0211|T1136|T1214|T2184,train,ham,False,False,"wen ur lovable bcums angry wid u, dnt take it seriously.. coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... have nice day da."
E0040,2,T0212|T3312,train,ham,False,False,what you doing?how are you?
E0041,2,T0220|T4377,train,ham,False,False,yup
E0042,3,T0230|T1506|T3459,train,spam,False,False,hmv bonus special 500 pounds of genuine hmv vouchers to be won. just answer 4 easy questions. play now! send hmv to 86688 more info:www.100percent-real.com
E0043,3,T0238|T1877|T3415,train,ham,False,False,okie...
E0044,2,H0048|H0931,heldout,ham,False,False,"my life means a lot to me, not because i love my life, but because i love the people in my life, the world calls them friends, i call them my world:-).. ge:-).."
E0045,3,T0247|T0781|T2204,train,ham,False,False,are you this much buzy
E0046,2,T0251|T3463,train,ham,False,False,hurt me... tease me... make me cry... but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u.. have a nice day bslvyl
E0047,12,H0049|H0147|H0252|H0347|H0387|H0459|H0518|H0717|H0791|H0923|H0979|H1079,heldout,ham,False,False,i cant pick the phone right now. pls send a message
E0048,3,T0259|T1265|T3145,train,ham,False,False,today is accept day..u accept me as? brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy
E0049,3,T0266|H0548|T4368,heldout|train,spam,True,False,december only! had your mobile 11mths+? you are entitled to update to the latest colour camera mobile for free! call the mobile update co free on 08002986906
E0050,3,T0282|T0628|T4432,train,ham,False,False,just sleeping..and surfing
E0051,2,T0289|T0437,train,ham,False,False,gudnite....tc...practice going on
E0052,2,T0293|T2548,train,ham,False,False,"today is sorry day.! if ever i was angry with you, if ever i misbehaved or hurt you? plz plz just slap urself bcoz, its ur fault, i'm basically good"
E0053,2,T0317|T3378,train,spam,False,False,"double mins and txts 4 6months free bluetooth on orange. available on sony, nokia motorola phones. call mobileupd8 on 08000839402 or call2optout/n9dx"
E0054,2,H0071|H0408,heldout,spam,False,False,4mths half price orange line rental & latest camera phones 4 free. had your phone 11mths ? call mobilesdirect free on 08000938767 to update now! or2stoptxt
E0055,2,T0338|T0922,train,ham,False,False,message:some text missing* sender:name missing* *number missing *sent:date missing *missing u a lot thats y everything is missing sent via fullonsms.com
E0056,2,T0342|T2194,train,ham,False,False,whatsup there. dont u want to sleep
E0057,3,T0352|T2293|T2804,train,ham,False,False,aathi..where are you dear..
E0058,3,T0355|T1588|T4083,train,ham,False,False,i wnt to buy a bmw car urgently..its vry urgent.but hv a shortage of &lt;#&gt; lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
E0059,2,T0356|T3354,train,spam,False,False,congrats! nokia 3650 video camera phone is your call 09066382422 calls cost 150ppm ave call 3mins vary from mobiles 16+ close 300603 post bcm4284 ldn wc1n3xx
E0060,2,T0364|T0812,train,ham,False,False,yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
