claim_id,id,split,issue_type,current_label,automated_evidence,policy_review,final_decision,final_confidence,recommended_action,final_reason,review_status
C001,H0009,heldout,leakage,ham,train_id=T3705;match=exact;similarity=1.0000,manual=accepted;Identical after lowercasing and whitespace collapse.,should_fix,high,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C002,H0412,heldout,leakage,spam,train_id=T1319;match=exact;similarity=1.0000,manual=accepted;Identical after lowercasing and whitespace collapse.,should_fix,high,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C003,H0548,heldout,leakage,spam,train_id=T0266;match=exact;similarity=1.0000,manual=accepted;Identical after lowercasing and whitespace collapse.,should_fix,high,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C004,H0909,heldout,leakage,spam,train_id=T0683;match=exact;similarity=1.0000,manual=accepted;Identical after lowercasing and whitespace collapse.,should_fix,high,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C005,H0922,heldout,leakage,spam,train_id=T4292;match=exact;similarity=1.0000,manual=accepted;Identical after lowercasing and whitespace collapse.,should_fix,high,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C006,H0143,heldout,label_error,spam,heldout_word_p_spam=0.017;char_p_spam=0.019;assigned=spam,"independent_policy_review=The tattoo line is a standalone joke without solicitation; both trained models strongly predict ham, but held-out labels remain untouched.",keep_but_flag,high,do_not_change_heldout_label,"Assigned spam; evidence supports ham. The tattoo line is a standalone joke without solicitation; both trained models strongly predict ham, but held-out labels remain untouched.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C007,T0059,train,label_error,spam,OOF_word_p_spam=0.037;char_p_spam=0.032;assigned=spam,independent_policy_review=The Divorce Barbie line is a self-contained joke with no spam action; both OOF text models strongly predict ham.,should_fix,high,apply_training_label_overlay,Assigned spam; evidence supports ham. The Divorce Barbie line is a self-contained joke with no spam action; both OOF text models strongly predict ham.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C008,T1149,train,label_error,spam,OOF_word_p_spam=0.069;char_p_spam=0.120;assigned=spam,independent_policy_review=The Arsenal dartboard line is a joke with no transaction details or response route; both OOF models strongly predict ham.,should_fix,high,apply_training_label_overlay,Assigned spam; evidence supports ham. The Arsenal dartboard line is a joke with no transaction details or response route; both OOF models strongly predict ham.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C009,T2232,train,label_error,spam,OOF_word_p_spam=0.051;char_p_spam=0.024;assigned=spam,independent_policy_review=The child-versus-teenager line is a conversational joke with no commercial or contact mechanism; both OOF models strongly predict ham.,should_fix,high,apply_training_label_overlay,Assigned spam; evidence supports ham. The child-versus-teenager line is a conversational joke with no commercial or contact mechanism; both OOF models strongly predict ham.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C010,T2378,train,label_error,spam,OOF_word_p_spam=0.009;char_p_spam=0.008;assigned=spam,"independent_policy_review=A standalone observational driving joke contains no solicitation, charge, contact instruction, or commercial intent; both OOF models and ham neighbours oppose the spam label.",should_fix,high,apply_training_label_overlay,"Assigned spam; evidence supports ham. A standalone observational driving joke contains no solicitation, charge, contact instruction, or commercial intent; both OOF models and ham neighbours oppose the spam l...",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C011,T3791,train,label_error,ham,OOF_word_p_spam=0.764;char_p_spam=0.633;assigned=ham,independent_policy_review=An unsolicited contact-platform invitation promotes free SMS and supplies an opt-out command; both OOF models predict spam.,should_fix,high,apply_training_label_overlay,Assigned ham; evidence supports spam. An unsolicited contact-platform invitation promotes free SMS and supplies an opt-out command; both OOF models predict spam.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C012,T4358,train,label_error,spam,OOF_word_p_spam=0.104;char_p_spam=0.153;assigned=spam,independent_policy_review=The stolen-toilet line is a one-line joke rather than a solicitation; both OOF models strongly oppose the spam label.,should_fix,high,apply_training_label_overlay,Assigned spam; evidence supports ham. The stolen-toilet line is a one-line joke rather than a solicitation; both OOF models strongly oppose the spam label.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C013,H0009,heldout,exact_duplicate,ham,cluster=E0009;size=2;members=H0009|T3705,splits=heldout|train;labels=ham;normalization=lowercase+whitespace-collapse,should_fix,high,rebuild_split_by_cluster,"This normalized text occurs across train and held-out, so the held-out row is not independent.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C014,H0412,heldout,exact_duplicate,spam,cluster=E0164;size=2;members=T1319|H0412,splits=heldout|train;labels=spam;normalization=lowercase+whitespace-collapse,should_fix,high,rebuild_split_by_cluster,"This normalized text occurs across train and held-out, so the held-out row is not independent.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C015,H0548,heldout,exact_duplicate,spam,cluster=E0049;size=3;members=T0266|H0548|T4368,splits=heldout|train;labels=spam;normalization=lowercase+whitespace-collapse,should_fix,high,rebuild_split_by_cluster,"This normalized text occurs across train and held-out, so the held-out row is not independent.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
