claim_id,id,split,issue_type,public_label,automated_evidence,policy_review,final_decision,final_confidence,recommended_action,final_reason,review_status
C001,T0266,train,exact_duplicate,spam,Exact duplicate cluster E0049 of size 3 after lowercase and whitespace normalization; splits=heldout|train; member_ids=T0266|H0548|T4368; cross_split=True; label_conflict=False,"Cross-split exact duplicate: a held-out row is byte-identical to training text, so evaluation should rebuild the split by cluster.",duplicate_confirmed,high,rebuild_split_by_cluster,"Cross-split exact duplicate: a held-out row is byte-identical to training text, so evaluation should rebuild the split by cluster.",integrated_from_reviewed_team_artifacts
C002,H0009,heldout,exact_duplicate,ham,Exact duplicate cluster E0009 of size 2 after lowercase and whitespace normalization; splits=heldout|train; member_ids=H0009|T3705; cross_split=True; label_conflict=False,"Cross-split exact duplicate: a held-out row is byte-identical to training text, so evaluation should rebuild the split by cluster.",duplicate_confirmed,high,rebuild_split_by_cluster,"Cross-split exact duplicate: a held-out row is byte-identical to training text, so evaluation should rebuild the split by cluster.",integrated_from_reviewed_team_artifacts
C003,T0683,train,exact_duplicate,spam,Exact duplicate cluster E0091 of size 2 after lowercase and whitespace normalization; splits=heldout|train; member_ids=T0683|H0909; cross_split=True; label_conflict=False,"Cross-split exact duplicate: a held-out row is byte-identical to training text, so evaluation should rebuild the split by cluster.",duplicate_confirmed,high,rebuild_split_by_cluster,"Cross-split exact duplicate: a held-out row is byte-identical to training text, so evaluation should rebuild the split by cluster.",integrated_from_reviewed_team_artifacts
C004,T1319,train,exact_duplicate,spam,Exact duplicate cluster E0164 of size 2 after lowercase and whitespace normalization; splits=heldout|train; member_ids=T1319|H0412; cross_split=True; label_conflict=False,"Cross-split exact duplicate: a held-out row is byte-identical to training text, so evaluation should rebuild the split by cluster.",duplicate_confirmed,high,rebuild_split_by_cluster,"Cross-split exact duplicate: a held-out row is byte-identical to training text, so evaluation should rebuild the split by cluster.",integrated_from_reviewed_team_artifacts
C005,H0922,heldout,exact_duplicate,spam,Exact duplicate cluster E0285 of size 2 after lowercase and whitespace normalization; splits=heldout|train; member_ids=H0922|T4292; cross_split=True; label_conflict=False,"Cross-split exact duplicate: a held-out row is byte-identical to training text, so evaluation should rebuild the split by cluster.",duplicate_confirmed,high,rebuild_split_by_cluster,"Cross-split exact duplicate: a held-out row is byte-identical to training text, so evaluation should rebuild the split by cluster.",integrated_from_reviewed_team_artifacts
C006,T0069,train,exact_duplicate,ham,Exact duplicate cluster E0014 of size 30 after lowercase and whitespace normalization; splits=train; member_ids=T0069|T0188|T0283|T0367|T0569|T0623|T0915|T0933|T1194|T1277|T1526|T1586|T1591|T1911|T1965|T2024|T2028|T2029|T2128|T2699|T2714|T2850|T2900|T3321|T3358|T3373|T4158|T4338|T4366|T4448; cross_split=False; label_...,Objective within-split exact duplicate cluster; dedupe by cluster before training.,duplicate_confirmed,high,dedupe_by_cluster,Objective within-split exact duplicate cluster; dedupe by cluster before training.,integrated_from_reviewed_team_artifacts
C007,T4223,train,near_duplicate,spam,Accepted near pair(s) N0079|N0157|N0221|N0354|N0422|N0439 with max cosine 0.9728; Manual review category=same_spam_campaign_template; partner sample(s)=H0311|H0805|H0945; cross_split=True,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate.",near_duplicate_accepted,low,keep_but_flag,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate.",integrated_from_reviewed_team_artifacts
C008,H0470,heldout,near_duplicate,spam,Accepted near pair(s) N0099|N0162|N0314|N0315 with max cosine 1.0000; Manual review category=same_spam_campaign_template; partner sample(s)=T0558|T1013|T2733|T3460; cross_split=True,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate.",near_duplicate_accepted,medium,should_fix,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate.",integrated_from_reviewed_team_artifacts
C009,T1013,train,near_duplicate,spam,Accepted near pair(s) N0098|N0162|N0163|N0164 with max cosine 1.0000; Manual review category=same_spam_campaign_template; partner sample(s)=H0470; cross_split=True,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate.",near_duplicate_accepted,medium,keep_but_flag,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate.",integrated_from_reviewed_team_artifacts
C010,T2733,train,near_duplicate,spam,Accepted near pair(s) N0100|N0163|N0314|N0388 with max cosine 1.0000; Manual review category=same_spam_campaign_template; partner sample(s)=H0470; cross_split=True,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate.",near_duplicate_accepted,medium,keep_but_flag,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate.",integrated_from_reviewed_team_artifacts
C011,T3460,train,near_duplicate,spam,Accepted near pair(s) N0101|N0164|N0315|N0388 with max cosine 1.0000; Manual review category=same_spam_campaign_template; partner sample(s)=H0470; cross_split=True,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate.",near_duplicate_accepted,medium,keep_but_flag,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate.",integrated_from_reviewed_team_artifacts
C012,H0373,heldout,near_duplicate,spam,Accepted near pair(s) N0030|N0132|N0248|N0249 with max cosine 0.9783; Manual review category=same_spam_campaign_template; partner sample(s)=T0201|T0710|T3494|T3676; cross_split=True,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate.",near_duplicate_accepted,low,should_fix,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate.",integrated_from_reviewed_team_artifacts
C013,H0009,heldout,leakage,ham,Held-out row has 3 training duplicate partner(s): T1821|T3367|T3705; leakage_type=exact_and_near_reviewed_accepted; duplicate_ref=E0009; max_similarity=1.0000,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it.",leakage_confirmed,high,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it.",integrated_from_reviewed_team_artifacts
C014,H0548,heldout,leakage,spam,Held-out row has 3 training duplicate partner(s): T0266|T4090|T4368; leakage_type=exact_and_near_reviewed_accepted; duplicate_ref=E0049; max_similarity=1.0000,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it.",leakage_confirmed,high,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it.",integrated_from_reviewed_team_artifacts
C015,H0412,heldout,leakage,spam,Held-out row has 1 training duplicate partner(s): T1319; leakage_type=exact; duplicate_ref=E0164; max_similarity=1.0000,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it.",leakage_confirmed,high,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it.",integrated_from_reviewed_team_artifacts
C016,H0909,heldout,leakage,spam,Held-out row has 1 training duplicate partner(s): T0683; leakage_type=exact; duplicate_ref=E0091; max_similarity=1.0000,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it.",leakage_confirmed,high,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it.",integrated_from_reviewed_team_artifacts
C017,H0922,heldout,leakage,spam,Held-out row has 1 training duplicate partner(s): T4292; leakage_type=exact; duplicate_ref=E0285; max_similarity=1.0000,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it.",leakage_confirmed,high,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it.",integrated_from_reviewed_team_artifacts
C018,H0470,heldout,leakage,spam,Held-out row has 4 training duplicate partner(s): T0558|T1013|T2733|T3460; leakage_type=near_reviewed_accepted; duplicate_ref=N0099|N0162|N0314|N0315; max_similarity=1.0000,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it.",leakage_confirmed,medium,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it.",integrated_from_reviewed_team_artifacts
C019,T2378,train,label_error,spam,word_oof_p_spam=0.009; char_oof_p_spam=0.008,"Standalone observational joke about driving; no solicitation, contact channel, or charge.",likely_label_error,high,apply_training_label_overlay,"Standalone observational joke about driving; no solicitation, contact channel, or charge.",integrated_from_reviewed_team_artifacts
C020,H0143,heldout,label_error,spam,word_oof_p_spam=0.017; char_oof_p_spam=0.019,"One-line joke about tattoos; no solicitation. Held-out row, flagged only.",likely_label_error,high,flag_only_no_relabel,"One-line joke about tattoos; no solicitation. Held-out row, flagged only.",integrated_from_reviewed_team_artifacts
C021,T0059,train,label_error,spam,word_oof_p_spam=0.037; char_oof_p_spam=0.032,Divorce Barbie joke; self-contained punchline with no commercial mechanism.,likely_label_error,high,apply_training_label_overlay,Divorce Barbie joke; self-contained punchline with no commercial mechanism.,integrated_from_reviewed_team_artifacts
C022,T2232,train,label_error,spam,word_oof_p_spam=0.051; char_oof_p_spam=0.024,"Child-versus-teenager joke; conversational, no action requested.",likely_label_error,high,apply_training_label_overlay,"Child-versus-teenager joke; conversational, no action requested.",integrated_from_reviewed_team_artifacts
C023,H0896,heldout,label_error,spam,word_oof_p_spam=0.105; char_oof_p_spam=0.063,"Recipient asking what to do after a prize message; a victim query, not a solicitation. Held-out row, flagged only.",likely_label_error,high,flag_only_no_relabel,"Recipient asking what to do after a prize message; a victim query, not a solicitation. Held-out row, flagged only.",integrated_from_reviewed_team_artifacts
C024,T3272,train,label_error,spam,word_oof_p_spam=0.107; char_oof_p_spam=0.068,Personal reply from a named sender about a debt collector; no solicitation.,likely_label_error,medium,apply_training_label_overlay,Personal reply from a named sender about a debt collector; no solicitation.,integrated_from_reviewed_team_artifacts
C025,H0946,heldout,shortcut,ham,all_shallow_p_spam=0.992;all_shallow_pred=spam;label=ham; full_text_p_spam=0.028;full_text_pred=ham;digits=11;currency=3;url=0;phone=0;promo_tokens=0;chars=89,Legitimate apartment-price discussion is pushed to spam by eleven digits and three currency markers; this is a clear cue-induced false positive.,shortcut_stress_case,high,retain_for_shortcut_stress_test,Legitimate apartment-price discussion is pushed to spam by eleven digits and three currency markers; this is a clear cue-induced false positive.,integrated_from_reviewed_team_artifacts
C026,H0044,heldout,shortcut,spam,all_shallow_p_spam=0.085;all_shallow_pred=ham;label=spam; full_text_p_spam=0.961;full_text_pred=spam;digits=0;currency=0;url=0;phone=0;promo_tokens=1;chars=133,A ringtone-club solicitation has almost none of the usual numeric or contact cues so the shallow model misses clear spam that the text model detects.,shortcut_stress_case,high,retain_for_shortcut_stress_test,A ringtone-club solicitation has almost none of the usual numeric or contact cues so the shallow model misses clear spam that the text model detects.,integrated_from_reviewed_team_artifacts
C027,H0287,heldout,shortcut,spam,all_shallow_p_spam=0.997;all_shallow_pred=spam;label=spam; full_text_p_spam=0.305;full_text_pred=ham;digits=19;currency=1;url=0;phone=1;promo_tokens=0;chars=153,A premium-rate adult-chat lure is recovered mainly from a telephone number and price marker while the full-text baseline remains below threshold.,shortcut_stress_case,high,retain_for_shortcut_stress_test,A premium-rate adult-chat lure is recovered mainly from a telephone number and price marker while the full-text baseline remains below threshold.,integrated_from_reviewed_team_artifacts
