pair_id,reason_code,id_a,id_b,split_a,split_b,label_a,label_b,uci_row_number_a,uci_row_number_b,word_cosine,char_cosine,max_cosine,primary_matcher,cross_split,label_conflict,above_protocol_threshold,text_a,text_b,source_script,method_version,review_decision,review_category,reviewer,review_notes,recommended_action,confidence,review_version
N0434,very_high_similarity_template_review_needed,H0908,T4439,heldout,train,spam,spam,4579,5550,1.000000000000001,0.982865106683194,1.000000000000001,word,True,False,True,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records","Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records.",scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high,near-duplicate-review-v1.3-manual-ledger
N0102,generic_short_text_review_needed,H0136,T4269,heldout,train,ham,ham,708,5341,1.0000000000000002,0.5980691501929662,1.0000000000000002,word,True,False,True,So when do you wanna gym harri,So when do you wanna gym?,scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,minor_personalization_change,Codex-assisted manual review,"Same specific ham message with only a name, addressee, punctuation, casing, or small wording detail changed.",treat_as_near_duplicate_leakage_candidate,medium,near-duplicate-review-v1.3-manual-ledger
N0289,high_token_overlap_review_needed,T1780,H0451,train,heldout,spam,spam,2225,2251,1.0000000000000002,0.957923193094437,1.0000000000000002,word,True,False,True,"Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120","Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154",scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high,near-duplicate-review-v1.3-manual-ledger
N0382,very_high_similarity_template_review_needed,H0644,T2769,heldout,train,spam,spam,3291,3434,1.0000000000000002,0.979042334588663,1.0000000000000002,word,True,False,True,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high,near-duplicate-review-v1.3-manual-ledger
N0383,very_high_similarity_template_review_needed,H0644,T3805,heldout,train,spam,spam,3291,4747,1.0000000000000002,0.979042334588663,1.0000000000000002,word,True,False,True,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high,near-duplicate-review-v1.3-manual-ledger
N0384,very_high_similarity_template_review_needed,H0644,T4291,heldout,train,spam,spam,3291,5368,1.0000000000000002,0.979042334588663,1.0000000000000002,word,True,False,True,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high,near-duplicate-review-v1.3-manual-ledger
N0437,generic_short_text_review_needed,H0924,T3761,heldout,train,ham,ham,4663,4692,1.0000000000000002,0.4181333006452932,1.0000000000000002,word,True,False,True,Ok no prob...,Ok no prob,scripts/audit_duplicates.py,duplicate-audit-v1.0,rejected_false_positive,generic_short_text,Codex-assisted manual review,"Manual review found only a generic short conversational phrase or acknowledgement. Exact duplicates of such phrases remain objective string duplicates, but non-exact variants need a specific source/template/content anchor to count as near-duplicate evidence.",exclude_from_duplicate_evidence,high,near-duplicate-review-v1.3-manual-ledger
N0001,generic_short_text_review_needed,H0009,T1821,heldout,train,ham,ham,58,2281,1.0,0.92934848464511,1.0,word,True,False,True,"Sorry, I'll call later in meeting.","Sorry, I'll call later in meeting",scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,minor_personalization_change,Codex-assisted manual review,"Same specific ham message with only a name, addressee, punctuation, casing, or small wording detail changed.",treat_as_near_duplicate_leakage_candidate,medium,near-duplicate-review-v1.3-manual-ledger
N0003,generic_short_text_review_needed,H0009,T3367,heldout,train,ham,ham,58,4185,1.0,0.92934848464511,1.0,word,True,False,True,"Sorry, I'll call later in meeting.","Sorry, I'll call later in meeting",scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,minor_personalization_change,Codex-assisted manual review,"Same specific ham message with only a name, addressee, punctuation, casing, or small wording detail changed.",treat_as_near_duplicate_leakage_candidate,medium,near-duplicate-review-v1.3-manual-ledger
N0017,generic_short_text_review_needed,T0133,H0926,train,heldout,ham,ham,158,4676,1.0,0.8398264912450958,1.0,word,True,False,True,I'm leaving my house now...,I'm leaving my house now.,scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,minor_personalization_change,Codex-assisted manual review,"Same specific ham message with only a name, addressee, punctuation, casing, or small wording detail changed.",treat_as_near_duplicate_leakage_candidate,medium,near-duplicate-review-v1.3-manual-ledger
N0153,high_token_overlap_review_needed,H0207,T1606,heldout,train,ham,ham,1091,2006,1.0,0.9599381468747332,1.0,word,True,False,True,Goodmorning today i am late for  &lt;DECIMAL&gt; min.,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,minor_personalization_change,Codex-assisted manual review,"Same specific ham message with only a name, addressee, punctuation, casing, or small wording detail changed.",treat_as_near_duplicate_leakage_candidate,medium,near-duplicate-review-v1.3-manual-ledger
N0162,same_words_possible_entity_or_number_change,T1013,H0470,train,heldout,spam,spam,1253,2355,1.0,0.9091207850412342,1.0,word,True,False,True,Please CALL 08712402779 immediately as there is an urgent message waiting for you,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high,near-duplicate-review-v1.3-manual-ledger
N0288,high_token_overlap_review_needed,H0445,T4014,heldout,train,spam,spam,2221,5013,1.0,0.9565562200487602,1.0,word,True,False,True,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high,near-duplicate-review-v1.3-manual-ledger
N0313,generic_short_text_review_needed,T1881,H0850,train,heldout,ham,ham,2350,4328,1.0,0.7306678014300666,1.0,word,True,False,True,That seems unnecessarily affectionate,That seems unnecessarily hostile,scripts/audit_duplicates.py,duplicate-audit-v1.0,rejected_false_positive,semantic_change,Codex-assisted manual review,"Texts are lexically similar but the manual review found a material meaning change, so this is not duplicate evidence.",exclude_from_duplicate_evidence,high,near-duplicate-review-v1.3-manual-ledger
N0314,threshold_candidate_review_needed,H0470,T2733,heldout,train,spam,spam,2355,3392,1.0,0.942497051808504,1.0,word,True,False,True,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,Please CALL 08712402972 immediately as there is an urgent message waiting for you,scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high,near-duplicate-review-v1.3-manual-ledger
N0315,same_words_possible_entity_or_number_change,H0470,T3460,heldout,train,spam,spam,2355,4298,1.0,0.8939073195729491,1.0,word,True,False,True,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,Please CALL 08712402578 immediately as there is an urgent message waiting for you,scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high,near-duplicate-review-v1.3-manual-ledger
N0328,generic_short_text_review_needed,T2085,H0531,train,heldout,ham,ham,2600,2719,1.0,0.8628493839292858,1.0,word,True,False,True,Okie... Thanx...,Okie.. Thanx..,scripts/audit_duplicates.py,duplicate-audit-v1.0,rejected_false_positive,generic_short_text,Codex-assisted manual review,"Manual review found only a generic short conversational phrase or acknowledgement. Exact duplicates of such phrases remain objective string duplicates, but non-exact variants need a specific source/template/content anchor to count as near-duplicate evidence.",exclude_from_duplicate_evidence,high,near-duplicate-review-v1.3-manual-ledger
N0350,very_high_similarity_template_review_needed,T2298,H0561,train,heldout,spam,spam,2851,2872,1.0,0.986825312790648,1.0,word,True,False,True,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call","YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high,near-duplicate-review-v1.3-manual-ledger
N0358,high_token_overlap_review_needed,T2413,H0645,train,heldout,spam,spam,3003,3300,1.0,0.951518177804524,1.0,word,True,False,True,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only,scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high,near-duplicate-review-v1.3-manual-ledger
N0378,same_words_possible_entity_or_number_change,T2627,H0663,train,heldout,spam,spam,3267,3410,1.0,0.894704250954387,1.0,word,True,False,True,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high,near-duplicate-review-v1.3-manual-ledger
N0392,very_high_similarity_template_review_needed,H0663,T4064,heldout,train,spam,spam,3410,5080,1.0,0.9714802979067496,1.0,word,True,False,True,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high,near-duplicate-review-v1.3-manual-ledger
N0347,very_high_similarity_template_review_needed,H0548,T4090,heldout,train,spam,spam,2809,5115,0.9639600589758156,0.9966777127723276,0.9966777127723276,char,True,False,True,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 ,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,scripts/audit_duplicates.py,duplicate-audit-v1.0,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high,near-duplicate-review-v1.3-manual-ledger
