id,split,uci_row_number,label,text,word_p_spam,word_pred,char_p_spam,char_pred,prediction_source,neighbour_count,opposite_neighbour_fraction,closest_opposite_id,closest_opposite_similarity,neighbour_ids,neighbour_labels,neighbour_similarities,word_opposes,char_opposes,neighbour_opposes,signal_count,mean_p_spam,opposition_strength,proposed_label
T0001,train,1,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0.0156073896791966,ham,0.0109857687625752,ham,5-fold-oof,5,0.0,,0.0,H0263|T2459|H0948|H0038|H0732,ham|ham|ham|ham|ham,0.3429|0.2787|0.2643|0.2279|0.2279,False,False,False,0,0.0132965792208859,0.0132965792208859,spam
T0002,train,2,ham,Ok lar... Joking wif u oni...,0.0152641813909494,ham,0.0068135293600386,ham,5-fold-oof,5,0.0,,0.0,T4348|T1979|T2437|T1057|H0770,ham|ham|ham|ham|ham,0.3760|0.3756|0.3534|0.3390|0.3113,False,False,False,0,0.011038855375494,0.011038855375494,spam
T0003,train,3,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,0.9009864068373424,spam,0.9330260698209476,spam,5-fold-oof,5,0.09819517277013087,T0547,0.1602361886662229,H0378|H0610|T4156|T0550|T0547,spam|spam|spam|spam|ham,0.4297|0.4297|0.4237|0.1885|0.1602,False,False,False,0,0.9170062383291451,0.08299376167085493,ham
T0004,train,4,ham,U dun say so early hor... U c already then say...,0.006091688004097,ham,0.0040578610628155,ham,5-fold-oof,5,0.0,,0.0,H0574|T3116|T2674|T1903|T1467,ham|ham|ham|ham|ham,0.3907|0.3815|0.3494|0.3234|0.2883,False,False,False,0,0.00507477453345625,0.00507477453345625,spam
T0005,train,5,ham,"Nah I don't think he goes to usf, he lives around here though",0.0180786607122912,ham,0.0116003062181606,ham,5-fold-oof,5,0.0,,0.0,H0206|T3476|T2009|T1740|T2290,ham|ham|ham|ham|ham,0.2387|0.2284|0.2207|0.2176|0.2044,False,False,False,0,0.0148394834652259,0.0148394834652259,spam
T0006,train,6,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",0.2161057151537487,ham,0.3308907838397325,ham,5-fold-oof,5,0.5881960144188767,T1593,0.17344180693599986,T3105|T1593|T3550|H0377|H0646,spam|ham|ham|spam|ham,0.1890|0.1734|0.1705|0.1687|0.1670,True,True,False,2,0.2734982494967406,0.7265017505032594,ham
T0007,train,7,ham,Even my brother is not like to speak with me. They treat me like aids patent.,0.0176793171576146,ham,0.0163656048491059,ham,5-fold-oof,5,0.0,,0.0,T4213|T2838|T0698|T4112|T2038,ham|ham|ham|ham|ham,0.2597|0.2513|0.2361|0.2308|0.2152,False,False,False,0,0.01702246100336025,0.01702246100336025,spam
T0008,train,8,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0.0776587919982304,ham,0.0990877675081858,ham,5-fold-oof,5,0.0,,0.0,H0706|H0344|T2976|T2538|T2127,ham|ham|ham|ham|ham,0.5602|0.5602|0.1823|0.1411|0.1409,False,False,False,0,0.0883732797532081,0.0883732797532081,spam
T0009,train,9,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,0.9655613304243232,spam,0.977312728336866,spam,5-fold-oof,5,0.0,,0.0,H0490|T3068|T3248|T4193|T0143,spam|spam|spam|spam|spam,0.6477|0.3818|0.3715|0.3715|0.3320,False,False,False,0,0.9714370293805946,0.02856297061940538,ham
T0010,train,10,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,0.944844023930444,spam,0.9469365435107734,spam,5-fold-oof,5,0.0,,0.0,T0266|T4368|H0548|T4090|T1830,spam|spam|spam|spam|spam,0.7249|0.7249|0.7249|0.7201|0.4922,False,False,False,0,0.9458902837206087,0.05410971627939132,ham
