case_id,match_type,heldout_id,train_id,heldout_label,train_label,label_conflict,heldout_uci_row_number,train_uci_row_number,cluster_id,pair_id,word_cosine,char_cosine,max_cosine,review_decision,review_category,confidence,heldout_text,train_text,source_script,method_version
L_EXACT_E0009_H0009_T3705,exact,H0009,T3705,ham,ham,False,58,4621,E0009,,1.0,1.0,1.0,not_applicable_exact_duplicate,exact_duplicate,high,"Sorry, I'll call later in meeting.","Sorry, I'll call later In meeting.",scripts/audit_leakage.py,leakage-audit-v1.1
L_EXACT_E0164_H0412_T1319,exact,H0412,T1319,spam,spam,False,2071,1636,E0164,,1.0,1.0,1.0,not_applicable_exact_duplicate,exact_duplicate,high,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p ","Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",scripts/audit_leakage.py,leakage-audit-v1.1
L_EXACT_E0049_H0548_T0266,exact,H0548,T0266,spam,spam,False,2809,320,E0049,,1.0,1.0,1.0,not_applicable_exact_duplicate,exact_duplicate,high,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 ,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,scripts/audit_leakage.py,leakage-audit-v1.1
L_EXACT_E0049_H0548_T4368,exact,H0548,T4368,spam,spam,False,2809,5463,E0049,,1.0,1.0,1.0,not_applicable_exact_duplicate,exact_duplicate,high,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 ,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,scripts/audit_leakage.py,leakage-audit-v1.1
L_EXACT_E0091_H0909_T0683,exact,H0909,T0683,spam,spam,False,4580,845,E0091,,1.0,1.0,1.0,not_applicable_exact_duplicate,exact_duplicate,high,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+","Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",scripts/audit_leakage.py,leakage-audit-v1.1
L_EXACT_E0285_H0922_T4292,exact,H0922,T4292,spam,spam,False,4653,5369,E0285,,1.0,1.0,1.0,not_applicable_exact_duplicate,exact_duplicate,high,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611 ,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0001,near_reviewed_accepted,H0009,T1821,ham,ham,False,58,2281,,N0001,1.0,0.92934848464511,1.0,accepted,minor_personalization_change,medium,"Sorry, I'll call later in meeting.","Sorry, I'll call later in meeting",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0003,near_reviewed_accepted,H0009,T3367,ham,ham,False,58,4185,,N0003,1.0,0.92934848464511,1.0,accepted,minor_personalization_change,medium,"Sorry, I'll call later in meeting.","Sorry, I'll call later in meeting",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0012,near_reviewed_accepted,H0019,T2655,spam,spam,False,124,3299,,N0012,0.9737166827498036,0.9228681758588868,0.9737166827498036,accepted,same_spam_campaign_template,high,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0016,near_reviewed_accepted,H0022,T1646,ham,ham,False,143,2057,,N0016,0.7219563638328468,0.977869301832662,0.977869301832662,accepted,minor_personalization_change,medium,"Sir, Waiting for your mail.","Sir, I am waiting for your mail.",scripts/audit_leakage.py,leakage-audit-v1.1
