id,split,uci_row_number,text,label
T0001,train,1,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham
T0002,train,2,Ok lar... Joking wif u oni...,ham
T0003,train,3,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam
T0004,train,4,U dun say so early hor... U c already then say...,ham
T0005,train,5,"Nah I don't think he goes to usf, he lives around here though",ham
T0006,train,6,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",spam
T0007,train,7,Even my brother is not like to speak with me. They treat me like aids patent.,ham
T0008,train,8,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham
T0009,train,9,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam
T0010,train,10,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam
T0011,train,11,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",ham
T0012,train,12,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam
T0013,train,13,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam
T0014,train,14,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham
T0015,train,15,I HAVE A DATE ON SUNDAY WITH WILL!!,ham
T0016,train,16,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam
T0017,train,17,Oh k...i'm watching here:),ham
T0018,train,18,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ham
T0019,train,19,Fine if thats the way u feel. Thats the way its gota b,ham
T0020,train,20,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",spam
H0001,heldout,21,Is that seriously how you spell his name?,ham
T0021,train,22,I‘m going to try for 2 months ha ha only joking,ham
T0022,train,23,So ü pay first lar... Then when is da stock comin...,ham
T0023,train,24,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham
H0002,heldout,25,Ffffffffff. Alright no way I can meet up with you sooner?,ham
T0024,train,26,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,ham
H0003,heldout,27,Lol your always so convincing.,ham
T0025,train,28,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,ham
T0026,train,29,"I'm back &amp; we're packing the car now, I'll let you know if there's room",ham
T0027,train,30,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham
T0028,train,31,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",ham
T0029,train,32,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,ham
T0030,train,33,K tell me anything about you.,ham
T0031,train,34,For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham
H0004,heldout,35,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam
T0032,train,36,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham
T0033,train,37,"Oops, I'll let you know when my roommate's done",ham
T0034,train,38,I see the letter B on my car,ham
H0005,heldout,39,Anything lor... U decide...,ham
T0035,train,40,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham
T0036,train,41,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham
T0037,train,42,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham
T0038,train,43,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam
H0006,heldout,44,WHO ARE YOU SEEING?,ham
H0007,heldout,45,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham
T0039,train,46,No calls..messages..missed calls,ham
T0040,train,47,Didn't you get hep b immunisation in nigeria.,ham
H0008,heldout,48,"Fair enough, anything going on?",ham
T0041,train,49,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",ham
T0042,train,50,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham
T0043,train,51,What you thinked about me. First time you saw me in class.,ham
T0044,train,52,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham
T0045,train,53,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham
T0046,train,54,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",ham
T0047,train,55,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam
T0048,train,56,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham
T0049,train,57,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam
H0009,heldout,58,"Sorry, I'll call later in meeting.",ham
T0050,train,59,Tell where you reached,ham
T0051,train,60,Yes..gauti and sehwag out of odi series.,ham
T0052,train,61,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham
T0053,train,62,Ha ha ha good joke. Girls are situation seekers.,ham
T0054,train,63,Its a part of checking IQ,ham
T0055,train,64,"Sorry my roommates took forever, it ok if I come by now?",ham
T0056,train,65,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham
T0057,train,66,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",spam
H0010,heldout,67,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",ham
T0058,train,68,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam
T0059,train,69,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",spam
T0060,train,70,I plane to give on this month end.,ham
T0061,train,71,Wah lucky man... Then can save money... Hee...,ham
T0062,train,72,Finished class where are you.,ham
T0063,train,73,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham
