id,split,issue_type,rank,confidence,evidence_1,evidence_2,recommended_action,short_explanation
H0009,heldout,leakage,1,high,train_id=T3705;match=exact;similarity=1.0000,manual=accepted;Identical after lowercasing and whitespace collapse.,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.
H0412,heldout,leakage,2,high,train_id=T1319;match=exact;similarity=1.0000,manual=accepted;Identical after lowercasing and whitespace collapse.,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.
H0548,heldout,leakage,3,high,train_id=T0266;match=exact;similarity=1.0000,manual=accepted;Identical after lowercasing and whitespace collapse.,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.
H0909,heldout,leakage,4,high,train_id=T0683;match=exact;similarity=1.0000,manual=accepted;Identical after lowercasing and whitespace collapse.,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.
H0922,heldout,leakage,5,high,train_id=T4292;match=exact;similarity=1.0000,manual=accepted;Identical after lowercasing and whitespace collapse.,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.
H0143,heldout,label_error,6,high,heldout_word_p_spam=0.017;char_p_spam=0.019;assigned=spam,"independent_policy_review=The tattoo line is a standalone joke without solicitation; both trained models strongly predict ham, but held-out labels remain untouched.",do_not_change_heldout_label,"Assigned spam; evidence supports ham. The tattoo line is a standalone joke without solicitation; both trained models strongly predict ham, but held-out labels remain untouched."
T0059,train,label_error,7,high,OOF_word_p_spam=0.037;char_p_spam=0.032;assigned=spam,independent_policy_review=The Divorce Barbie line is a self-contained joke with no spam action; both OOF text models strongly predict ham.,apply_training_label_overlay,Assigned spam; evidence supports ham. The Divorce Barbie line is a self-contained joke with no spam action; both OOF text models strongly predict ham.
T1149,train,label_error,8,high,OOF_word_p_spam=0.069;char_p_spam=0.120;assigned=spam,independent_policy_review=The Arsenal dartboard line is a joke with no transaction details or response route; both OOF models strongly predict ham.,apply_training_label_overlay,Assigned spam; evidence supports ham. The Arsenal dartboard line is a joke with no transaction details or response route; both OOF models strongly predict ham.
T2232,train,label_error,9,high,OOF_word_p_spam=0.051;char_p_spam=0.024;assigned=spam,independent_policy_review=The child-versus-teenager line is a conversational joke with no commercial or contact mechanism; both OOF models strongly predict ham.,apply_training_label_overlay,Assigned spam; evidence supports ham. The child-versus-teenager line is a conversational joke with no commercial or contact mechanism; both OOF models strongly predict ham.
T2378,train,label_error,10,high,OOF_word_p_spam=0.009;char_p_spam=0.008;assigned=spam,"independent_policy_review=A standalone observational driving joke contains no solicitation, charge, contact instruction, or commercial intent; both OOF models and ham neighbours oppose the spam label.",apply_training_label_overlay,"Assigned spam; evidence supports ham. A standalone observational driving joke contains no solicitation, charge, contact instruction, or commercial intent; both OOF models and ham neighbours oppose the spam l..."
T3791,train,label_error,11,high,OOF_word_p_spam=0.764;char_p_spam=0.633;assigned=ham,independent_policy_review=An unsolicited contact-platform invitation promotes free SMS and supplies an opt-out command; both OOF models predict spam.,apply_training_label_overlay,Assigned ham; evidence supports spam. An unsolicited contact-platform invitation promotes free SMS and supplies an opt-out command; both OOF models predict spam.
T4358,train,label_error,12,high,OOF_word_p_spam=0.104;char_p_spam=0.153;assigned=spam,independent_policy_review=The stolen-toilet line is a one-line joke rather than a solicitation; both OOF models strongly oppose the spam label.,apply_training_label_overlay,Assigned spam; evidence supports ham. The stolen-toilet line is a one-line joke rather than a solicitation; both OOF models strongly oppose the spam label.
H0009,heldout,exact_duplicate,13,high,cluster=E0009;size=2;members=H0009|T3705,splits=heldout|train;labels=ham;normalization=lowercase+whitespace-collapse,rebuild_split_by_cluster,"This normalized text occurs across train and held-out, so the held-out row is not independent."
H0412,heldout,exact_duplicate,14,high,cluster=E0164;size=2;members=T1319|H0412,splits=heldout|train;labels=spam;normalization=lowercase+whitespace-collapse,rebuild_split_by_cluster,"This normalized text occurs across train and held-out, so the held-out row is not independent."
H0548,heldout,exact_duplicate,15,high,cluster=E0049;size=3;members=T0266|H0548|T4368,splits=heldout|train;labels=spam;normalization=lowercase+whitespace-collapse,rebuild_split_by_cluster,"This normalized text occurs across train and held-out, so the held-out row is not independent."
H0909,heldout,exact_duplicate,16,high,cluster=E0091;size=2;members=T0683|H0909,splits=heldout|train;labels=spam;normalization=lowercase+whitespace-collapse,rebuild_split_by_cluster,"This normalized text occurs across train and held-out, so the held-out row is not independent."
H0922,heldout,exact_duplicate,17,high,cluster=E0285;size=2;members=H0922|T4292,splits=heldout|train;labels=spam;normalization=lowercase+whitespace-collapse,rebuild_split_by_cluster,"This normalized text occurs across train and held-out, so the held-out row is not independent."
H0445,heldout,leakage,18,medium,train_id=T4014;match=near;similarity=1.0000,"manual=accepted;Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.
H0470,heldout,leakage,19,medium,train_id=T1013;match=near;similarity=1.0000,"manual=accepted;Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.
H0644,heldout,leakage,20,medium,train_id=T2769;match=near;similarity=1.0000,"manual=accepted;Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.
H0738,heldout,leakage,21,medium,train_id=T0218;match=near;similarity=0.9958,"manual=accepted;Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.
H0311,heldout,near_duplicate,22,medium,paired_id=T0885;word_cos=0.9917;char_cos=0.9519,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",review_for_cluster_aware_evaluation,The held-out message preserves a distinctive training template with minor substitutions.
H0445,heldout,near_duplicate,23,high,paired_id=T4014;word_cos=1.0000;char_cos=0.9566,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",review_for_cluster_aware_evaluation,The held-out message preserves a distinctive training template with minor substitutions.
H0470,heldout,near_duplicate,24,high,paired_id=T1013;word_cos=1.0000;char_cos=0.9091,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",review_for_cluster_aware_evaluation,The held-out message preserves a distinctive training template with minor substitutions.
H0548,heldout,near_duplicate,25,high,paired_id=T4090;word_cos=0.9640;char_cos=0.9967,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",review_for_cluster_aware_evaluation,The held-out message preserves a distinctive training template with minor substitutions.
H0644,heldout,near_duplicate,26,high,paired_id=T2769;word_cos=1.0000;char_cos=0.9790,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",review_for_cluster_aware_evaluation,The held-out message preserves a distinctive training template with minor substitutions.
H0738,heldout,near_duplicate,27,medium,paired_id=T0218;word_cos=0.9823;char_cos=0.9958,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",review_for_cluster_aware_evaluation,The held-out message preserves a distinctive training template with minor substitutions.
H0896,heldout,label_error,28,medium,heldout_word_p_spam=0.105;char_p_spam=0.063;assigned=spam,independent_policy_review=The wording reads as a recipient asking what to do after a winning-number message rather than originating the promotion; both models predict ham.,do_not_change_heldout_label,Assigned spam; evidence supports ham. The wording reads as a recipient asking what to do after a winning-number message rather than originating the promotion; both models predict ham.
T1798,train,label_error,29,medium,OOF_word_p_spam=0.037;char_p_spam=0.103;assigned=spam,"independent_policy_review=The sender warns the recipient about a scam and says not to respond; the spam-like terms are quoted as safety context, and both OOF models predict ham.",apply_training_label_overlay,"Assigned spam; evidence supports ham. The sender warns the recipient about a scam and says not to respond; the spam-like terms are quoted as safety context, and both OOF models predict ham."
T3272,train,label_error,30,medium,OOF_word_p_spam=0.107;char_p_spam=0.068;assigned=spam,"independent_policy_review=This is a named personal debt-collection update thanking the recipient for information, not an offer; both OOF models strongly predict ham.",apply_training_label_overlay,"Assigned spam; evidence supports ham. This is a named personal debt-collection update thanking the recipient for information, not an offer; both OOF models strongly predict ham."
T4296,train,label_error,31,medium,OOF_word_p_spam=0.120;char_p_spam=0.167;assigned=spam,"independent_policy_review=The message asks whether received dating texts are connected to a prior action; it discusses spam rather than soliciting the recipient, and both OOF models predict ham.",apply_training_label_overlay,"Assigned spam; evidence supports ham. The message asks whether received dating texts are connected to a prior action; it discusses spam rather than soliciting the recipient, and both OOF models predict ham."
T0069,train,exact_duplicate,32,medium,cluster=E0014;size=30;members=T0069|T0188|T0283|T0367|T0569|T0623|T0915|T0933|T1194|T1277|T1526|T1586|T1591|T1911|T1965|T2024|T2028|T2029|T2128|T2699|T2714|T2850|T2900|T3321|T3358|T3373|T4158|T4338|T4366|T4448,splits=train;labels=ham;normalization=lowercase+whitespace-collapse,deduplicate_training_cluster,This repeated training template receives disproportionate weight unless clustering is respected.
T0161,train,exact_duplicate,33,medium,cluster=E0028;size=4;members=T0161|T0811|T3230|T3252,splits=train;labels=spam;normalization=lowercase+whitespace-collapse,deduplicate_training_cluster,This repeated training template receives disproportionate weight unless clustering is respected.
