heldout_id,train_id,match_type,primary_similarity,word_similarity,char_similarity,label,cluster_id,manual_decision,manual_confidence,manual_reason
H0009,T3705,exact,1.0,1.0,1.0,ham,E0009,accepted,high,Identical after lowercasing and whitespace collapse.
H0548,T0266,exact,1.0,1.0,1.0,spam,E0049,accepted,high,Identical after lowercasing and whitespace collapse.
H0909,T0683,exact,1.0,1.0,1.0,spam,E0091,accepted,high,Identical after lowercasing and whitespace collapse.
H0412,T1319,exact,1.0,1.0,1.0,spam,E0164,accepted,high,Identical after lowercasing and whitespace collapse.
H0922,T4292,exact,1.0,1.0,1.0,spam,E0285,accepted,high,Identical after lowercasing and whitespace collapse.
H0470,T1013,near,1.0000000000000004,1.0000000000000004,0.9091207850412336,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0470,T2733,near,1.0000000000000004,1.0000000000000004,0.9424970518085044,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0470,T3460,near,1.0000000000000004,1.0000000000000004,0.8939073195729488,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0644,T2769,near,1.0000000000000004,1.0000000000000004,0.9790423345886634,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0644,T3805,near,1.0000000000000004,1.0000000000000004,0.9790423345886634,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0644,T4291,near,1.0000000000000004,1.0000000000000004,0.9790423345886634,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0009,T1821,near,1.0,1.0,0.92934848464511,ham,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0009,T3367,near,1.0,1.0,0.92934848464511,ham,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0926,T0133,near,1.0,1.0,0.8398264912450956,ham,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0207,T1606,near,1.0,1.0,0.9599381468747328,ham,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0445,T4014,near,1.0,1.0,0.956556220048762,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0663,T2627,near,1.0,1.0,0.8947042509543885,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0663,T4064,near,1.0,1.0,0.9714802979067502,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0561,T2298,near,0.9999999999999998,0.9999999999999998,0.9868253127906472,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0451,T1780,near,0.9999999999999994,0.9999999999999994,0.9579231930944369,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0908,T4439,near,0.9999999999999994,0.9999999999999994,0.9828651066831944,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0645,T2413,near,0.9999999999999992,0.9999999999999992,0.9515181778045247,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0548,T4090,near,0.9966777127723287,0.9639600589758156,0.9966777127723287,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0738,T0218,near,0.9957873344954128,0.9822537008303588,0.9957873344954128,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0378,T4156,near,0.994338337232201,0.9868148682100542,0.994338337232201,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0610,T4156,near,0.994338337232201,0.9868148682100542,0.994338337232201,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0311,T0885,near,0.991736562494989,0.991736562494989,0.9518672494859892,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0945,T0885,near,0.991736562494989,0.991736562494989,0.9518672494859892,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0867,T2901,near,0.9854838705662547,0.9777924515208058,0.9854838705662547,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0215,T2812,near,0.98496742485362,0.8699142566403874,0.98496742485362,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0168,T1285,near,0.9828757358276996,0.9828757358276996,0.9225080978504984,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0767,T1548,near,0.9804405165275154,0.9804405165275154,0.9307880461228616,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0114,T0998,near,0.9791172707008858,0.9791172707008858,0.8268631012320332,ham,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0373,T0710,near,0.9783455347293268,0.9783455347293268,0.9433633913259928,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0507,T4417,near,0.9781073040106718,0.9781073040106718,0.9157847211631072,ham,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0022,T1646,near,0.977869301832662,0.7219563638328468,0.977869301832662,ham,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0778,T0484,near,0.9764913119777404,0.9764913119777404,0.9552686898505758,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0853,T0501,near,0.9744422997708548,0.9744422997708548,0.9703310734909124,ham,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0019,T2655,near,0.9737166827498028,0.9737166827498028,0.9228681758588894,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0311,T4223,near,0.9728453920259124,0.9388886840529622,0.9728453920259124,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0945,T4223,near,0.9728453920259124,0.9388886840529622,0.9728453920259124,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H1003,T1269,near,0.9716129274751928,0.9716129274751928,0.9612044415828548,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0973,T4035,near,0.9657474259165534,0.9657474259165534,0.7297035910161577,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H1063,T3075,near,0.9652591568715384,0.9652591568715384,0.7327372600685136,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0589,T0304,near,0.9639921154284936,0.9639921154284936,0.9180430885471156,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0959,T2628,near,0.9588003813304676,0.9588003813304676,0.8053807196049647,ham,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0153,T0382,near,0.9578467972911486,0.9578467972911486,0.8432895214872321,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0765,T2328,near,0.9547808674021518,0.9547808674021518,0.9372056186406212,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0210,T1131,near,0.9518461561422642,0.9488538511596374,0.9518461561422642,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0940,T0677,near,0.9515864571237392,0.9515864571237392,0.8558661771111278,ham,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0940,T2608,near,0.9515864571237392,0.9515864571237392,0.8558661771111278,ham,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0988,T2590,near,0.9503574661375296,0.9503574661375296,0.8316071997815915,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0445,T0583,near,0.9485796659614458,0.9441959174681273,0.9485796659614458,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0160,T0520,near,0.9464739543407494,0.8694035829024149,0.9464739543407494,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0210,T3445,near,0.9400651629510368,0.9136208490879808,0.9400651629510368,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0288,T1769,near,0.9393459834177648,0.9393459834177648,0.8859599382843744,spam,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0316,T0710,near,0.9372936846687968,0.9372936846687968,0.921766981064535,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0804,T0710,near,0.9372936846687968,0.9372936846687968,0.921766981064535,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H1030,T1558,near,0.9332448364321496,0.8278506454856192,0.9332448364321496,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H1038,T1558,near,0.9332448364321496,0.8278506454856192,0.9332448364321496,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H1030,T3462,near,0.9332448364321496,0.8278506454856192,0.9332448364321496,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H1038,T3462,near,0.9332448364321496,0.8278506454856192,0.9332448364321496,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H1108,T0435,near,0.9301352272921806,0.9301352272921806,0.8961761991887601,spam,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H1090,T3844,near,0.9296198266601188,0.9296198266601188,0.7040906822305675,spam,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0632,T3256,near,0.9289007824233356,0.9068454578918714,0.9289007824233356,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0805,T4223,near,0.9269514714249464,0.8527895600207033,0.9269514714249464,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0196,T0650,near,0.9254319048020464,0.8345198806522718,0.9254319048020464,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0733,T0650,near,0.9254319048020464,0.8345198806522718,0.9254319048020464,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0821,T0650,near,0.9254319048020464,0.8345198806522718,0.9254319048020464,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0196,T4113,near,0.9254319048020464,0.8345198806522718,0.9254319048020464,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0733,T4113,near,0.9254319048020464,0.8345198806522718,0.9254319048020464,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
