heldout_id,label,uci_row_number,leakage_type,severity,n_exact_train_partners,n_near_train_partners,n_total_train_partners,train_partner_ids,exact_cluster_ids,near_pair_ids,review_categories,max_similarity,word_pred,char_pred,word_p_spam,char_p_spam,text
H0412,spam,2071,exact,high,1,0,1,T1319,E0164,,,1.0,spam,spam,0.9467320384746049,0.8804607788177823,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p "
H0909,spam,4580,exact,high,1,0,1,T0683,E0091,,,1.0,spam,spam,0.917384464489964,0.9707681951320049,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
H0922,spam,4653,exact,high,1,0,1,T4292,E0285,,,1.0,spam,spam,0.8149314804142515,0.9266798026197044,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611 
H0009,ham,58,exact_and_near_reviewed_accepted,high,1,2,3,T1821|T3367|T3705,E0009,N0001|N0003,minor_personalization_change,1.0,ham,ham,0.010580279173974,0.0072235892675272,"Sorry, I'll call later in meeting."
H0548,spam,2809,exact_and_near_reviewed_accepted,high,2,1,3,T0266|T4090|T4368,E0049,N0347,same_spam_campaign_template,1.0,spam,spam,0.9272509767911042,0.9355732961155562,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 
H0019,spam,124,near_reviewed_accepted,medium_high,0,1,1,T2655,,N0012,same_spam_campaign_template,0.9737166827498036,spam,spam,0.878870847403141,0.9140795768202126,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
H0022,ham,143,near_reviewed_accepted,medium,0,1,1,T1646,,N0016,minor_personalization_change,0.977869301832662,ham,ham,0.0880924184720843,0.0548905926025634,"Sir, Waiting for your mail."
H0031,ham,197,near_reviewed_accepted,medium,0,1,1,T0488,,N0023,minor_personalization_change,0.9227336540787052,ham,ham,0.013327499347154,0.0176983598517531,Gud mrng dear hav a nice day
H0114,ham,625,near_reviewed_accepted,medium,0,1,1,T0998,,N0094,minor_personalization_change,0.9791172707008864,ham,ham,0.0113286973793844,0.0078358869358626,"sorry, no, have got few things to do. may be in pub later."
H0136,ham,708,near_reviewed_accepted,medium,0,1,1,T4269,,N0102,minor_personalization_change,1.0000000000000002,ham,ham,0.0195315139721504,0.0149433656967296,So when do you wanna gym harri
H0152,ham,791,near_reviewed_accepted,medium,0,1,1,T0488,,N0091,minor_personalization_change,0.9227336540787052,ham,ham,0.013327499347154,0.0176983598517531,Gud mrng dear hav a nice day
H0153,spam,798,near_reviewed_accepted,medium_high,0,1,1,T0382,,N0080,same_spam_campaign_template,0.9578467972911489,spam,spam,0.9276838868780006,0.8829706242329224,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa"
H0160,spam,834,near_reviewed_accepted,medium_high,0,1,1,T0520,,N0096,same_spam_campaign_template,0.9464739543407517,spam,spam,0.9812612004246756,0.9731530477866216,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062"
H0168,spam,869,near_reviewed_accepted,medium_high,0,1,1,T1285,,N0129,same_spam_campaign_template,0.9828757358277002,spam,spam,0.9215577983504668,0.9252320879547424,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04
