id,split,uci_row_number,label,text,word_p_spam,word_pred,char_p_spam,char_pred,prediction_source,neighbour_count,opposite_neighbour_fraction,closest_opposite_id,closest_opposite_similarity,neighbour_ids,neighbour_labels,neighbour_similarities,word_opposes,char_opposes,neighbour_opposes,signal_count,mean_p_spam,opposition_strength,proposed_label,model_disagreement,boundary_distance,neighbour_mixedness,ambiguity_score
H0935,heldout,4703,ham,I liked the new mobile,0.434567757870319,ham,0.5273291533019926,spam,fit-all-train,5,0.4824049768822607,H0891,0.27291848772163463,T3887|H0891|T3205|T3209|T3348,ham|spam|ham|spam|spam,0.5647|0.2729|0.2656|0.2514|0.2495,False,True,False,1,0.4809484555861558,0.4809484555861558,spam,True,0.019051544413844212,0.9648099537645214,1.7478208926781202
T0935,train,1155,spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m),0.4428982358315745,ham,0.5423869357400626,spam,5-fold-oof,5,0.5770142019580133,H1020,0.16402522811823017,T0848|H1020|T3018|T3948|T1683,spam|ham|ham|spam|ham,0.1836|0.1640|0.1633|0.1621|0.1443,True,False,False,1,0.49264258578581854,0.5073574142141815,ham,True,0.007357414214181457,0.8459715960839733,1.7236738100052262
T3511,train,4374,spam,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!",0.554217506492752,spam,0.4409373718931481,ham,5-fold-oof,5,0.6174290884892938,T4341,0.1884043696462906,T1073|T4341|T4125|H0608|T0114,spam|ham|ham|ham|ham,0.4095|0.1884|0.1604|0.1573|0.1547,False,True,False,1,0.49757743919295006,0.50242256080705,ham,True,0.002422560807049945,0.7651418230214124,1.7012116075944652
T0660,train,816,spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",0.6001556918394594,spam,0.3621159927257759,ham,5-fold-oof,5,0.3866546285845047,H0421,0.1665184420780037,T2875|H0421|T0928|T1889|T0047,spam|ham|spam|ham|spam,0.2022|0.1665|0.1594|0.1568|0.1513,False,True,False,1,0.48113584228261763,0.5188641577173824,ham,True,0.018864157717382368,0.7733092571690094,1.671595387432839
H0146,heldout,762,spam,"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply.",0.600756930178189,spam,0.4445716628880639,ham,fit-all-train,5,0.6167123971301641,T1833,0.26791163257701645,T1833|T3023|T0189|T1474|T2878,ham|spam|ham|ham|spam,0.2679|0.2281|0.1807|0.1643|0.1528,False,True,False,1,0.5226642965331264,0.4773357034668736,ham,True,0.022664296533126405,0.7665752057396718,1.661301489229616
T0712,train,882,spam,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,0.6148475690062141,spam,0.3540974913413173,ham,5-fold-oof,5,0.3511844578755575,T1304,0.22399234013603586,T3591|T0141|T3724|T1304|T3501,spam|spam|spam|ham|ham,0.2956|0.2695|0.2516|0.2240|0.2180,False,True,False,1,0.4844725301737657,0.5155274698262343,ham,True,0.01552746982623432,0.702368915751115,1.6498926266479774
H0151,heldout,789,spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),0.5622279061524149,spam,0.3673334678250155,ham,fit-all-train,5,0.6254805978554951,T1910,0.20768052711938112,H0181|T1910|T4276|H0831|T1607,spam|ham|ham|ham|ham,0.4763|0.2077|0.2043|0.1933|0.1901,False,True,False,1,0.4647806869887152,0.5352193130112848,ham,True,0.03521931301128478,0.7490388042890097,1.6291768956930341
T2259,train,2805,spam,FreeMsg>FAV XMAS TONES!Reply REAL,0.4704565365911552,ham,0.6328025727792552,spam,5-fold-oof,5,0.3715718442472611,T0804,0.2042698357269659,T1667|T0804|T1862|H0377|T3409,spam|ham|ham|spam|spam,0.3119|0.2043|0.2043|0.1899|0.1892,True,False,False,1,0.5516295546852052,0.44837044531479475,ham,True,0.05162955468520525,0.7431436884945222,1.5939983660273982
H0181,heldout,944,spam,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),0.5939435406761521,spam,0.475204903790087,ham,fit-all-train,5,0.6758966656039881,T3536,0.3076990034778413,H0151|T3536|T1607|T0470|H0670,spam|ham|ham|ham|ham,0.4763|0.3077|0.2406|0.2328|0.2121,False,True,True,2,0.5345742222331196,0.46542577776688043,ham,True,0.03457422223311957,0.6482066687920238,1.5901342230505704
T2758,train,3423,spam,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,0.4891100271840602,ham,0.5229652461306605,spam,5-fold-oof,5,0.7483771341450755,H0267,0.23044211066559772,T1660|H0267|T3406|T3006|T2852,spam|ham|ham|ham|ham,0.2763|0.2304|0.1971|0.1971|0.1971,True,False,False,1,0.5060376366573603,0.49396236334263965,ham,True,0.006037636657360346,0.5032457317098491,1.5892230193692192
