id_1,id_2,split_1,split_2,label_1,label_2,word_similarity,char_similarity,primary_similarity,similarity_basis,meets_protocol_threshold,is_cross_split,has_label_conflict,text_1,text_2,match_type
T1013,H0470,train,heldout,spam,spam,1.0000000000000004,0.9091207850412337,1.0000000000000004,word,True,True,False,Please CALL 08712402779 immediately as there is an urgent message waiting for you,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,near
H0470,T2733,heldout,train,spam,spam,1.0000000000000004,0.9424970518085043,1.0000000000000004,word,True,True,False,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,Please CALL 08712402972 immediately as there is an urgent message waiting for you,near
H0470,T3460,heldout,train,spam,spam,1.0000000000000004,0.8939073195729488,1.0000000000000004,word,True,True,False,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,Please CALL 08712402578 immediately as there is an urgent message waiting for you,near
H0644,T2769,heldout,train,spam,spam,1.0000000000000004,0.9790423345886634,1.0000000000000004,word,True,True,False,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,near
H0644,T3805,heldout,train,spam,spam,1.0000000000000004,0.9790423345886634,1.0000000000000004,word,True,True,False,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,near
H0644,T4291,heldout,train,spam,spam,1.0000000000000004,0.9790423345886634,1.0000000000000004,word,True,True,False,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,near
T2085,H0531,train,heldout,ham,ham,1.0000000000000002,0.8628493839292857,1.0000000000000002,word,True,True,False,Okie... Thanx...,Okie.. Thanx..,near
H0009,T1821,heldout,train,ham,ham,1.0,0.9293484846451101,1.0,word,True,True,False,"Sorry, I'll call later in meeting.","Sorry, I'll call later in meeting",near
H0009,T3367,heldout,train,ham,ham,1.0,0.9293484846451101,1.0,word,True,True,False,"Sorry, I'll call later in meeting.","Sorry, I'll call later in meeting",near
T0133,H0926,train,heldout,ham,ham,1.0,0.8398264912450956,1.0,word,True,True,False,I'm leaving my house now...,I'm leaving my house now.,near
H0207,T1606,heldout,train,ham,ham,1.0,0.9599381468747328,1.0,word,True,True,False,Goodmorning today i am late for  &lt;DECIMAL&gt; min.,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",near
H0445,T4014,heldout,train,spam,spam,1.0,0.956556220048762,1.0,word,True,True,False,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,near
T1881,H0850,train,heldout,ham,ham,1.0,0.7306678014300665,1.0,word,True,True,False,That seems unnecessarily affectionate,That seems unnecessarily hostile,near
T2627,H0663,train,heldout,spam,spam,0.9999999999999999,0.8947042509543885,0.9999999999999999,word,True,True,False,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,near
H0663,T4064,heldout,train,spam,spam,0.9999999999999999,0.9714802979067502,0.9999999999999999,word,True,True,False,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,near
H0924,T3761,heldout,train,ham,ham,0.9999999999999999,0.41813330064529314,0.9999999999999999,word,True,True,False,Ok no prob...,Ok no prob,near
H0136,T4269,heldout,train,ham,ham,0.9999999999999998,0.5980691501929662,0.9999999999999998,word,True,True,False,So when do you wanna gym harri,So when do you wanna gym?,near
T2298,H0561,train,heldout,spam,spam,0.9999999999999998,0.9868253127906472,0.9999999999999998,word,True,True,False,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call","YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",near
T1780,H0451,train,heldout,spam,spam,0.9999999999999994,0.9579231930944369,0.9999999999999994,word,True,True,False,"Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120","Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154",near
H0908,T4439,heldout,train,spam,spam,0.9999999999999994,0.9828651066831944,0.9999999999999994,word,True,True,False,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records","Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records.",near
T2413,H0645,train,heldout,spam,spam,0.9999999999999993,0.9515181778045247,0.9999999999999993,word,True,True,False,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only,near
H0548,T4090,heldout,train,spam,spam,0.9639600589758155,0.9966777127723289,0.9966777127723289,character,True,True,False,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 ,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,near
T0218,H0738,train,heldout,spam,spam,0.9822537008303589,0.9957873344954129,0.9957873344954129,character,True,True,False,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,near
H0378,T4156,heldout,train,spam,spam,0.9868148682100542,0.994338337232201,0.994338337232201,character,True,True,False,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,near
H0610,T4156,heldout,train,spam,spam,0.9868148682100542,0.994338337232201,0.994338337232201,character,True,True,False,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,near
T0885,H0311,train,heldout,spam,spam,0.991736562494989,0.9518672494859892,0.991736562494989,word,True,True,False,WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,near
T0885,H0945,train,heldout,spam,spam,0.991736562494989,0.9518672494859892,0.991736562494989,word,True,True,False,WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,near
T2901,H0867,train,heldout,spam,spam,0.9777924515208058,0.9854838705662547,0.9854838705662547,character,True,True,False,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,near
H0215,T2812,heldout,train,spam,spam,0.8699142566403874,0.9849674248536201,0.9849674248536201,character,True,True,False,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,near
H0168,T1285,heldout,train,spam,spam,0.9828757358276996,0.9225080978504983,0.9828757358276996,word,True,True,False,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,near
T1548,H0767,train,heldout,spam,spam,0.9804405165275154,0.9307880461228615,0.9804405165275154,word,True,True,False,Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,near
H0114,T0998,heldout,train,ham,ham,0.9791172707008858,0.8268631012320332,0.9791172707008858,word,True,True,False,"sorry, no, have got few things to do. may be in pub later.",have got * few things to do. may be in * pub later.,near
T0710,H0373,train,heldout,spam,spam,0.9783455347293268,0.9433633913259927,0.9783455347293268,word,True,True,False,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,near
H0507,T4417,heldout,train,ham,ham,0.9781073040106718,0.9157847211631073,0.9781073040106718,word,True,True,False,I dont want to hear anything,No. I dont want to hear anything,near
H0022,T1646,heldout,train,ham,ham,0.7219563638328468,0.977869301832662,0.977869301832662,character,True,True,False,"Sir, Waiting for your mail.","Sir, I am waiting for your mail.",near
T0484,H0778,train,heldout,spam,spam,0.9764913119777405,0.9552686898505758,0.9764913119777405,word,True,True,False,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo",near
T0501,H0853,train,heldout,ham,ham,0.9744422997708548,0.9703310734909125,0.9744422997708548,word,True,True,False,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,near
H0019,T2655,heldout,train,spam,spam,0.9737166827498029,0.9228681758588894,0.9737166827498029,word,True,True,False,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,near
H0311,T4223,heldout,train,spam,spam,0.9388886840529622,0.9728453920259124,0.9728453920259124,character,True,True,False,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,near
H0945,T4223,heldout,train,spam,spam,0.9388886840529622,0.9728453920259124,0.9728453920259124,character,True,True,False,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,near
T1269,H1003,train,heldout,spam,spam,0.9716129274751929,0.9612044415828547,0.9716129274751929,word,True,True,False,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,near
H0973,T4035,heldout,train,spam,spam,0.9657474259165534,0.7297035910161577,0.9657474259165534,word,True,True,False,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,near
T3075,H1063,train,heldout,spam,spam,0.9652591568715385,0.7327372600685136,0.9652591568715385,word,True,True,False,74355 XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,near
T0304,H0589,train,heldout,spam,spam,0.9639921154284935,0.9180430885471157,0.9639921154284935,word,True,True,False,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=","Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2",near
T0233,H0551,train,heldout,ham,ham,0.5738853944969395,0.9621124091000606,0.9621124091000606,character,True,True,False,Thanx...,Ok thanx...,near
T0233,H0660,train,heldout,ham,ham,0.5738853944969395,0.9621124091000606,0.9621124091000606,character,True,True,False,Thanx...,Ok thanx...,near
T2628,H0959,train,heldout,ham,ham,0.9588003813304675,0.8053807196049647,0.9588003813304675,word,True,True,False,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,near
T0382,H0153,train,heldout,spam,spam,0.9578467972911486,0.8432895214872321,0.9578467972911486,word,True,True,False,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available","Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",near
T2328,H0765,train,heldout,spam,spam,0.9547808674021518,0.9372056186406211,0.9547808674021518,word,True,True,False,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL","Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8",near
H0210,T1131,heldout,train,spam,spam,0.9488538511596374,0.9518461561422642,0.9518461561422642,character,True,True,False,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",near
T0677,H0940,train,heldout,ham,ham,0.9515864571237391,0.8558661771111278,0.9515864571237391,word,True,True,False,Good Morning my Dear........... Have a great &amp; successful day.,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,near
T2608,H0940,train,heldout,ham,ham,0.9515864571237391,0.8558661771111278,0.9515864571237391,word,True,True,False,Good Morning my Dear........... Have a great &amp; successful day.,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,near
T2590,H0988,train,heldout,spam,spam,0.9503574661375296,0.8316071997815915,0.9503574661375296,word,True,True,False,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,near
T0583,H0445,train,heldout,spam,spam,0.9441959174681273,0.9485796659614458,0.9485796659614458,character,True,True,False,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,near
T0520,H0160,train,heldout,spam,spam,0.8694035829024149,0.9464739543407494,0.9464739543407494,character,True,True,False,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.","Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",near
H0210,T3445,heldout,train,spam,spam,0.9136208490879808,0.9400651629510369,0.9400651629510369,character,True,True,False,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",near
H0288,T1769,heldout,train,spam,spam,0.9393459834177649,0.8859599382843744,0.9393459834177649,word,True,True,False,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!","URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",near
T0710,H0316,train,heldout,spam,spam,0.9372936846687968,0.921766981064535,0.9372936846687968,word,True,True,False,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,near
