sample_id,split,label,uci_row_number,duplicate_type,cross_split_duplicate,exact_cluster_ids,near_pair_ids,n_exact_duplicate_clusters,n_exact_duplicate_partner_samples,n_near_reviewed_accepted_pairs,n_cross_split_exact_partner_samples,n_cross_split_near_reviewed_accepted_pairs,partner_ids,cross_split_partner_ids,review_categories,max_near_similarity,text
H0009,heldout,ham,58,exact_and_near_reviewed_accepted,True,E0009,N0001|N0003,1,1,2,1,2,T1821|T3367|T3705,T1821|T3367|T3705,minor_personalization_change,1.0,"Sorry, I'll call later in meeting."
H0019,heldout,spam,124,near_reviewed_accepted,True,,N0012,0,0,1,0,1,T2655,T2655,same_spam_campaign_template,0.9737166827498036,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
H0022,heldout,ham,143,near_reviewed_accepted,True,,N0016,0,0,1,0,1,T1646,T1646,minor_personalization_change,0.977869301832662,"Sir, Waiting for your mail."
H0031,heldout,ham,197,exact_and_near_reviewed_accepted,True,E0030,N0023,1,2,1,0,1,H0152|H0727|T0488,T0488,minor_personalization_change,0.9227336540787052,Gud mrng dear hav a nice day
H0114,heldout,ham,625,near_reviewed_accepted,True,,N0094,0,0,1,0,1,T0998,T0998,minor_personalization_change,0.9791172707008864,"sorry, no, have got few things to do. may be in pub later."
H0136,heldout,ham,708,near_reviewed_accepted,True,,N0102,0,0,1,0,1,T4269,T4269,minor_personalization_change,1.0000000000000002,So when do you wanna gym harri
H0152,heldout,ham,791,exact_and_near_reviewed_accepted,True,E0030,N0091,1,2,1,0,1,H0031|H0727|T0488,T0488,minor_personalization_change,0.9227336540787052,Gud mrng dear hav a nice day
H0153,heldout,spam,798,near_reviewed_accepted,True,,N0080,0,0,1,0,1,T0382,T0382,same_spam_campaign_template,0.9578467972911489,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa"
H0160,heldout,spam,834,near_reviewed_accepted,True,,N0096,0,0,1,0,1,T0520,T0520,same_spam_campaign_template,0.9464739543407517,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062"
H0168,heldout,spam,869,near_reviewed_accepted,True,,N0129,0,0,1,0,1,T1285,T1285,same_spam_campaign_template,0.9828757358277002,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04
H0196,heldout,spam,1018,exact_and_near_reviewed_accepted,True,E0103,N0114|N0147,1,2,2,0,2,H0733|H0821|T0650|T4113,T0650|T4113,same_spam_campaign_template,0.925431904802045,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
H0207,heldout,ham,1091,near_reviewed_accepted,True,,N0153,0,0,1,0,1,T1606,T1606,minor_personalization_change,1.0,Goodmorning today i am late for  &lt;DECIMAL&gt; min.
H0210,heldout,spam,1106,near_reviewed_accepted,True,,N0158|N0159,0,0,2,0,2,T1131|T3445,T1131|T3445,same_spam_campaign_template,0.9518461561422614,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
H0215,heldout,spam,1123,near_reviewed_accepted,True,,N0160,0,0,1,0,1,T2812,T2812,same_spam_campaign_template,0.9849674248536204,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
H0266,heldout,spam,1367,exact_and_near_reviewed_accepted,True,E0138,N0184|N0185,1,1,2,0,2,H0620|T1209|T2403,T1209|T2403,same_spam_campaign_template,0.9222468765339176,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
H0288,heldout,spam,1464,near_reviewed_accepted,True,,N0200,0,0,1,0,1,T1769,T1769,same_spam_campaign_template,0.939345983417765,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
H0311,heldout,spam,1599,exact_and_near_reviewed_accepted,True,E0160,N0154|N0221,1,1,2,0,2,H0945|T0885|T4223,T0885|T4223,same_spam_campaign_template,0.9917365624949894,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
H0316,heldout,spam,1624,exact_and_near_reviewed_accepted,True,E0162,N0131,1,1,1,0,1,H0804|T0710,T0710,same_spam_campaign_template,0.9372936846687971,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
H0329,heldout,spam,1674,near_reviewed_accepted,True,,N0230,0,0,1,0,1,T2871,T2871,same_spam_campaign_template,0.922325173320112,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
H0373,heldout,spam,1881,near_reviewed_accepted,True,,N0030|N0132|N0248|N0249,0,0,4,0,4,T0201|T0710|T3494|T3676,T0201|T0710|T3494|T3676,same_spam_campaign_template,0.978345534729327,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
H0378,heldout,spam,1905,exact_and_near_reviewed_accepted,True,E0186,N0251,1,1,1,0,1,H0610|T4156,T4156,same_spam_campaign_template,0.9943383372322006,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
H0412,heldout,spam,2071,exact,True,E0164,,1,1,0,1,0,T1319,T1319,,,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p "
H0440,heldout,spam,2210,exact_and_near_reviewed_accepted,True,E0206,N0261|N0285,1,1,2,0,2,H0815|T1558|T3462,T1558|T3462,same_spam_campaign_template,0.9232009124035072,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
H0445,heldout,spam,2221,near_reviewed_accepted,True,,N0106|N0288,0,0,2,0,2,T0583|T4014,T0583|T4014,same_spam_campaign_template,1.0,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
H0451,heldout,spam,2251,near_reviewed_accepted,True,,N0289,0,0,1,0,1,T1780,T1780,same_spam_campaign_template,1.0000000000000002,"Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154"
