id,split,public_label,proposed_label,decision,confidence,signal_count,opposition_strength,reason
T2378,train,spam,ham,should_fix,high,3,0.9915,"Standalone observational joke about driving; no solicitation, contact channel, or charge."
H0143,heldout,spam,ham,should_fix,high,2,0.9821,"One-line joke about tattoos; no solicitation. Held-out row, flagged only."
T0059,train,spam,ham,should_fix,high,2,0.9652,Divorce Barbie joke; self-contained punchline with no commercial mechanism.
T2232,train,spam,ham,should_fix,high,2,0.9628,"Child-versus-teenager joke; conversational, no action requested."
H0896,heldout,spam,ham,should_fix,high,3,0.916,"Recipient asking what to do after a prize message; a victim query, not a solicitation. Held-out row, flagged only."
T3272,train,spam,ham,should_fix,medium,2,0.9128,Personal reply from a named sender about a debt collector; no solicitation.
T1149,train,spam,ham,should_fix,medium,2,0.9058,British joke: a dartboard with no doubles or trebles is useless. No real transaction intent or contact detail.
T4358,train,spam,ham,should_fix,medium,2,0.8715,Stolen police toilet pun; no commercial content.
T4296,train,spam,ham,should_fix,medium,2,0.8565,Personal question about having received dating spam; discussing spam is not sending it.
T4433,train,spam,ham,should_fix,medium,2,0.7434,"Personal rant about a disputed mobile bill; complaint, not solicitation."
T1798,train,spam,ham,should_fix,medium,2,0.9298,"Quotes a scam opener in order to warn the recipient about it; meta-warning, not the scam."
T2172,train,spam,ham,should_fix,medium,2,0.8129,Reads as the user reporting money lost to shortcode 88066 and asking for help.
T1811,train,spam,ham,should_fix,medium,2,0.8272,Near-duplicate of T2172; same help request about shortcode 88066.
T1322,train,spam,ham,should_fix,medium,2,0.7971,Commentary on network billing responsibility; no solicitation. The 0A$NETWORKS prefix remains unexplained.
T1174,train,spam,ham,should_fix,low,1,0.5705,Complaint about receiving paid ringtone texts. Only one automated signal opposes; retained on policy reading and consistency with T1798 and T4296.
T2139,train,spam,spam,ambiguous_policy_case,medium,3,0.9868,"Flirtatious opener with no price, shortcode, or premium number. Personal message and adult-chat lure are both consistent with the text."
T2710,train,spam,spam,ambiguous_policy_case,medium,3,0.9513,070 number with no tariff disclosure. UK 070 is both a personal follow-me range and a range abused by premium redirect scams; judged on the same standard as T3390.
T3390,train,spam,spam,ambiguous_policy_case,medium,3,0.7718,Missed-call alert quoting a 070 number without tariff disclosure; same standard as T2710.
H0550,heldout,spam,spam,ambiguous_policy_case,medium,3,0.9279,The ROMCAPspam prefix may be residue of a real horoscope campaign or a corpus annotation artifact; the body itself is ordinary warm chat.
T0774,train,spam,spam,ambiguous_policy_case,medium,3,0.7981,"Truncated text implying adult content, but no tariff, number, or shortcode survives in the row."
T0702,train,spam,spam,ambiguous_policy_case,medium,2,0.9531,Requests address and date of birth for a product trial. Genuine recruitment by an acquaintance and cold data collection are both readable.
T2847,train,spam,spam,ambiguous_policy_case,medium,2,0.7985,Club ticket notice; spam status depends on whether the recipient is a member who opted into club messages.
T3981,train,spam,spam,ambiguous_policy_case,medium,2,0.7174,"UNICEF disaster appeal. Charity solicitation is a genuine policy carve-out question, not a commercial broadcast."
T1951,train,spam,spam,ambiguous_policy_case,medium,2,0.7956,"Personal web page shared with a request for opinions. Depends on sender relationship; no charge or commercial mechanism. The 1/1 marker indicates a single-part message, not a chain."
T3461,train,spam,spam,ambiguous_policy_case,medium,2,0.6879,Meta commentary demonstrating an anonymous SMS service to the recipient; sender intent cannot be recovered.
T2758,train,spam,spam,ambiguous_policy_case,medium,1,0.494,Service onboarding prompt asking for age and gender. Cannot distinguish a subscription the user initiated from a cold enrolment lure.
T2658,train,spam,spam,ambiguous_policy_case,low,1,0.526,Truncated fragment that reads as a personal thank-you; too little text survives to decide.
T3123,train,spam,spam,ambiguous_policy_case,medium,1,0.4431,Picture link with no tariff. A legitimate photo-sharing notification and a marketing link are both consistent.
H0030,heldout,spam,spam,ambiguous_policy_case,medium,1,0.4336,"Teaser campaign with a URL but no price, number, or reply keyword; commercial intent is implied rather than evidenced."
H0935,heldout,ham,ham,false_positive_audit_finding,low,1,0.4809,"""I liked the new mobile"" is ordinary ham. Word and character probabilities straddle 0.5 and neighbours are mixed, but predictive uncertainty alone is neither label error nor semantic ambiguity."
T0470,train,ham,ham,false_positive_audit_finding,low,1,0.5185,"""Waiting for your call."" is ordinary ham. The word model scores it 0.689 on shallow lexical overlap with call-to-action spam; no neighbour opposes the label."
T2755,train,spam,spam,keep_but_flag,medium,2,0.9533,"The affectionate wording is packaging; ""one gbp/sms"" is an explicit per-message charge."
H0814,heldout,spam,spam,keep_but_flag,medium,2,0.9545,"Quiz requiring a keyword reply follows the corpus premium-quiz pattern, though no price is shown."
