pair_id,id_a,id_b,split_a,split_b,label_a,label_b,uci_row_number_a,uci_row_number_b,word_cosine,char_cosine,max_cosine,primary_matcher,cross_split,label_conflict,above_protocol_threshold,reason_code_suggestion,text_a,text_b,source_script,method_version
N0434,H0908,T4439,heldout,train,spam,spam,4579,5550,1.0000000000000013,0.9828651066831939,1.0000000000000013,word,True,False,True,very_high_similarity_template_review_needed,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records","Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records.",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0102,H0136,T4269,heldout,train,ham,ham,708,5341,1.0000000000000002,0.5980691501929662,1.0000000000000002,word,True,False,True,generic_short_text_review_needed,So when do you wanna gym harri,So when do you wanna gym?,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0289,T1780,H0451,train,heldout,spam,spam,2225,2251,1.0000000000000002,0.957923193094437,1.0000000000000002,word,True,False,True,high_token_overlap_review_needed,"Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120","Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0382,H0644,T2769,heldout,train,spam,spam,3291,3434,1.0000000000000002,0.979042334588663,1.0000000000000002,word,True,False,True,very_high_similarity_template_review_needed,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0383,H0644,T3805,heldout,train,spam,spam,3291,4747,1.0000000000000002,0.979042334588663,1.0000000000000002,word,True,False,True,very_high_similarity_template_review_needed,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0384,H0644,T4291,heldout,train,spam,spam,3291,5368,1.0000000000000002,0.979042334588663,1.0000000000000002,word,True,False,True,very_high_similarity_template_review_needed,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0437,H0924,T3761,heldout,train,ham,ham,4663,4692,1.0000000000000002,0.4181333006452932,1.0000000000000002,word,True,False,True,generic_short_text_review_needed,Ok no prob...,Ok no prob,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0001,H0009,T1821,heldout,train,ham,ham,58,2281,1.0,0.9293484846451101,1.0,word,True,False,True,generic_short_text_review_needed,"Sorry, I'll call later in meeting.","Sorry, I'll call later in meeting",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0003,H0009,T3367,heldout,train,ham,ham,58,4185,1.0,0.9293484846451101,1.0,word,True,False,True,generic_short_text_review_needed,"Sorry, I'll call later in meeting.","Sorry, I'll call later in meeting",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0017,T0133,H0926,train,heldout,ham,ham,158,4676,1.0,0.8398264912450958,1.0,word,True,False,True,generic_short_text_review_needed,I'm leaving my house now...,I'm leaving my house now.,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0153,H0207,T1606,heldout,train,ham,ham,1091,2006,1.0,0.9599381468747332,1.0,word,True,False,True,high_token_overlap_review_needed,Goodmorning today i am late for  &lt;DECIMAL&gt; min.,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0162,T1013,H0470,train,heldout,spam,spam,1253,2355,1.0,0.9091207850412342,1.0,word,True,False,True,same_words_possible_entity_or_number_change,Please CALL 08712402779 immediately as there is an urgent message waiting for you,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,scripts/audit_duplicates.py,duplicate-audit-v1.0
