id,split,issue_type,rank,confidence,evidence_1,evidence_2,recommended_action,short_explanation
T0266,train,exact_duplicate,1,high,Exact duplicate cluster E0049 of size 3 after lowercase and whitespace normalization; splits=heldout|train,member_ids=T0266|H0548|T4368; cross_split=True; label_conflict=False,rebuild_split_by_cluster,"Cross-split exact duplicate: a held-out row is byte-identical to training text, so evaluation should rebuild the split by cluster."
H0009,heldout,exact_duplicate,2,high,Exact duplicate cluster E0009 of size 2 after lowercase and whitespace normalization; splits=heldout|train,member_ids=H0009|T3705; cross_split=True; label_conflict=False,rebuild_split_by_cluster,"Cross-split exact duplicate: a held-out row is byte-identical to training text, so evaluation should rebuild the split by cluster."
T0683,train,exact_duplicate,3,high,Exact duplicate cluster E0091 of size 2 after lowercase and whitespace normalization; splits=heldout|train,member_ids=T0683|H0909; cross_split=True; label_conflict=False,rebuild_split_by_cluster,"Cross-split exact duplicate: a held-out row is byte-identical to training text, so evaluation should rebuild the split by cluster."
T1319,train,exact_duplicate,4,high,Exact duplicate cluster E0164 of size 2 after lowercase and whitespace normalization; splits=heldout|train,member_ids=T1319|H0412; cross_split=True; label_conflict=False,rebuild_split_by_cluster,"Cross-split exact duplicate: a held-out row is byte-identical to training text, so evaluation should rebuild the split by cluster."
H0922,heldout,exact_duplicate,5,high,Exact duplicate cluster E0285 of size 2 after lowercase and whitespace normalization; splits=heldout|train,member_ids=H0922|T4292; cross_split=True; label_conflict=False,rebuild_split_by_cluster,"Cross-split exact duplicate: a held-out row is byte-identical to training text, so evaluation should rebuild the split by cluster."
T0069,train,exact_duplicate,6,high,Exact duplicate cluster E0014 of size 30 after lowercase and whitespace normalization; splits=train,member_ids=T0069|T0188|T0283|T0367|T0569|T0623|T0915|T0933|T1194|T1277|T1526|T1586|T1591|T1911|T1965|T2024|T2028|T2029|T2128|T2699|T2714|T2850|T2900|T3321|T3358|T3373|T4158|T4338|T4366|T4448; cross_split=False; label_...,dedupe_by_cluster,Objective within-split exact duplicate cluster; dedupe by cluster before training.
T4223,train,near_duplicate,7,low,Accepted near pair(s) N0079|N0157|N0221|N0354|N0422|N0439 with max cosine 0.9728,Manual review category=same_spam_campaign_template; partner sample(s)=H0311|H0805|H0945; cross_split=True,keep_but_flag,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate."
H0470,heldout,near_duplicate,8,medium,Accepted near pair(s) N0099|N0162|N0314|N0315 with max cosine 1.0000,Manual review category=same_spam_campaign_template; partner sample(s)=T0558|T1013|T2733|T3460; cross_split=True,should_fix,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate."
T1013,train,near_duplicate,9,medium,Accepted near pair(s) N0098|N0162|N0163|N0164 with max cosine 1.0000,Manual review category=same_spam_campaign_template; partner sample(s)=H0470; cross_split=True,keep_but_flag,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate."
T2733,train,near_duplicate,10,medium,Accepted near pair(s) N0100|N0163|N0314|N0388 with max cosine 1.0000,Manual review category=same_spam_campaign_template; partner sample(s)=H0470; cross_split=True,keep_but_flag,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate."
