id,split,issue_type,rank,confidence,evidence_1,evidence_2,recommended_action,short_explanation
T2139,train,ambiguous,1,medium,word_oof_p_spam=0.016,char_oof_p_spam=0.011,clarify_annotation_policy,"Flirtatious opener with no price, shortcode, or premium number. Personal message and adult-chat lure are both consistent with the text."
T2710,train,ambiguous,2,medium,word_oof_p_spam=0.071,char_oof_p_spam=0.026,clarify_annotation_policy,070 number with no tariff disclosure. UK 070 is both a personal follow-me range and a range abused by premium redirect scams; judged on the same standard as T3390.
T3390,train,ambiguous,3,medium,word_oof_p_spam=0.172,char_oof_p_spam=0.284,clarify_annotation_policy,Missed-call alert quoting a 070 number without tariff disclosure; same standard as T2710.
H0550,heldout,ambiguous,4,medium,word_oof_p_spam=0.081,char_oof_p_spam=0.063,clarify_annotation_policy,The ROMCAPspam prefix may be residue of a real horoscope campaign or a corpus annotation artifact; the body itself is ordinary warm chat.
T0774,train,ambiguous,5,medium,word_oof_p_spam=0.191,char_oof_p_spam=0.213,clarify_annotation_policy,"Truncated text implying adult content, but no tariff, number, or shortcode survives in the row."
T0702,train,ambiguous,6,medium,word_oof_p_spam=0.051,char_oof_p_spam=0.043,clarify_annotation_policy,Requests address and date of birth for a product trial. Genuine recruitment by an acquaintance and cold data collection are both readable.
T2847,train,ambiguous,7,medium,word_oof_p_spam=0.248,char_oof_p_spam=0.155,clarify_annotation_policy,Club ticket notice; spam status depends on whether the recipient is a member who opted into club messages.
T3981,train,ambiguous,8,medium,word_oof_p_spam=0.376,char_oof_p_spam=0.189,clarify_annotation_policy,"UNICEF disaster appeal. Charity solicitation is a genuine policy carve-out question, not a commercial broadcast."
T1951,train,ambiguous,9,medium,word_oof_p_spam=0.323,char_oof_p_spam=0.086,clarify_annotation_policy,"Personal web page shared with a request for opinions. Depends on sender relationship; no charge or commercial mechanism. The 1/1 marker indicates a single-part message, not a chain."
T3461,train,ambiguous,10,medium,word_oof_p_spam=0.296,char_oof_p_spam=0.329,clarify_annotation_policy,Meta commentary demonstrating an anonymous SMS service to the recipient; sender intent cannot be recovered.
T2758,train,ambiguous,11,medium,word_oof_p_spam=0.489,manual_policy_reading,clarify_annotation_policy,Service onboarding prompt asking for age and gender. Cannot distinguish a subscription the user initiated from a cold enrolment lure.
T3123,train,ambiguous,12,medium,char_oof_p_spam=0.419,manual_policy_reading,clarify_annotation_policy,Picture link with no tariff. A legitimate photo-sharing notification and a marketing link are both consistent.
H0030,heldout,ambiguous,13,medium,char_oof_p_spam=0.370,manual_policy_reading,clarify_annotation_policy,"Teaser campaign with a URL but no price, number, or reply keyword; commercial intent is implied rather than evidenced."
T2658,train,ambiguous,14,low,char_oof_p_spam=0.134,manual_policy_reading,clarify_annotation_policy,Truncated fragment that reads as a personal thank-you; too little text survives to decide.
H0935,heldout,ambiguous,15,low,char_oof_p_spam=0.527,manual_policy_reading,reject_audit_finding,"""I liked the new mobile"" is ordinary ham. Word and character probabilities straddle 0.5 and neighbours are mixed, but predictive uncertainty alone is neither label error nor semantic ambiguity."
T0470,train,ambiguous,16,low,word_oof_p_spam=0.689,manual_policy_reading,reject_audit_finding,"""Waiting for your call."" is ordinary ham. The word model scores it 0.689 on shallow lexical overlap with call-to-action spam; no neighbour opposes the label."
T2378,train,label_error,17,high,word_oof_p_spam=0.009,char_oof_p_spam=0.008,apply_training_label_overlay,"Standalone observational joke about driving; no solicitation, contact channel, or charge."
H0143,heldout,label_error,18,high,word_oof_p_spam=0.017,char_oof_p_spam=0.019,flag_only_no_relabel,"One-line joke about tattoos; no solicitation. Held-out row, flagged only."
T0059,train,label_error,19,high,word_oof_p_spam=0.037,char_oof_p_spam=0.032,apply_training_label_overlay,Divorce Barbie joke; self-contained punchline with no commercial mechanism.
T2232,train,label_error,20,high,word_oof_p_spam=0.051,char_oof_p_spam=0.024,apply_training_label_overlay,"Child-versus-teenager joke; conversational, no action requested."
H0896,heldout,label_error,21,high,word_oof_p_spam=0.105,char_oof_p_spam=0.063,flag_only_no_relabel,"Recipient asking what to do after a prize message; a victim query, not a solicitation. Held-out row, flagged only."
T3272,train,label_error,22,medium,word_oof_p_spam=0.107,char_oof_p_spam=0.068,apply_training_label_overlay,Personal reply from a named sender about a debt collector; no solicitation.
T1149,train,label_error,23,medium,word_oof_p_spam=0.069,char_oof_p_spam=0.120,apply_training_label_overlay,British joke: a dartboard with no doubles or trebles is useless. No real transaction intent or contact detail.
T4358,train,label_error,24,medium,word_oof_p_spam=0.104,char_oof_p_spam=0.153,apply_training_label_overlay,Stolen police toilet pun; no commercial content.
T4296,train,label_error,25,medium,word_oof_p_spam=0.120,char_oof_p_spam=0.167,apply_training_label_overlay,Personal question about having received dating spam; discussing spam is not sending it.
T4433,train,label_error,26,medium,word_oof_p_spam=0.064,char_oof_p_spam=0.449,apply_training_label_overlay,"Personal rant about a disputed mobile bill; complaint, not solicitation."
T1798,train,label_error,27,medium,word_oof_p_spam=0.037,char_oof_p_spam=0.103,apply_training_label_overlay,"Quotes a scam opener in order to warn the recipient about it; meta-warning, not the scam."
T2172,train,label_error,28,medium,word_oof_p_spam=0.166,char_oof_p_spam=0.209,apply_training_label_overlay,Reads as the user reporting money lost to shortcode 88066 and asking for help.
T1811,train,label_error,29,medium,word_oof_p_spam=0.173,char_oof_p_spam=0.173,apply_training_label_overlay,Near-duplicate of T2172; same help request about shortcode 88066.
T1322,train,label_error,30,medium,word_oof_p_spam=0.233,char_oof_p_spam=0.172,apply_training_label_overlay,Commentary on network billing responsibility; no solicitation. The 0A$NETWORKS prefix remains unexplained.
T1174,train,label_error,31,low,word_oof_p_spam=0.241,manual_policy_reading,apply_training_label_overlay,Complaint about receiving paid ringtone texts. Only one automated signal opposes; retained on policy reading and consistency with T1798 and T4296.
