id,split,uci_row_number,text,label
H0001,heldout,21,Is that seriously how you spell his name?,ham
H0002,heldout,25,Ffffffffff. Alright no way I can meet up with you sooner?,ham
H0003,heldout,27,Lol your always so convincing.,ham
H0004,heldout,35,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam
H0005,heldout,39,Anything lor... U decide...,ham
H0006,heldout,44,WHO ARE YOU SEEING?,ham
H0007,heldout,45,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham
H0008,heldout,48,"Fair enough, anything going on?",ham
H0009,heldout,58,"Sorry, I'll call later in meeting.",ham
H0010,heldout,67,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",ham
H0011,heldout,75,U can call me now...,ham
H0012,heldout,76,I am waiting machan. Call me once you free.,ham
H0013,heldout,93,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham
H0014,heldout,94,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam
H0015,heldout,96,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",spam
H0016,heldout,105,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",ham
H0017,heldout,107,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham
H0018,heldout,116,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",ham
H0019,heldout,124,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam
H0020,heldout,131,K..k:)how much does it cost?,ham
H0021,heldout,137,I only haf msn. It's yijue@hotmail.com,ham
H0022,heldout,143,"Sir, Waiting for your mail.",ham
H0023,heldout,147,Whats the staff name who is taking class for us?,ham
H0024,heldout,151,Sindu got job in birla soft ..,ham
H0025,heldout,157,Aaooooright are you at work?,ham
H0026,heldout,170,Great escape. I fancy the bridge but needs her lager. See you tomo ,ham
H0027,heldout,185,"He will, you guys close?",ham
H0028,heldout,188,"Haha awesome, be there in a minute",ham
H0029,heldout,190,Have you got Xmas radio times. If not i will get it now,ham
H0030,heldout,192,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam
H0031,heldout,197,Gud mrng dear hav a nice day,ham
H0032,heldout,207,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,ham
H0033,heldout,215,Yup... How ü noe leh...,ham
H0034,heldout,216,Sounds great! Are you home now?,ham
H0035,heldout,222,Ok no prob. Take ur time.,ham
H0036,heldout,223,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,ham
H0037,heldout,229,Hey company elama po mudyadhu.,ham
H0038,heldout,235,Yes:)here tv is always available in work place..,ham
H0039,heldout,236,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,spam
H0040,heldout,240,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",ham
H0041,heldout,244,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",ham
H0042,heldout,246,U don't remember that old commercial?,ham
H0043,heldout,267,Same. Wana plan a trip sometme then,ham
H0044,heldout,271,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,spam
H0045,heldout,279,"Awesome, I'll see you in a bit",ham
H0046,heldout,283,"""Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch"" gdeve..",ham
H0047,heldout,284,Ok. I asked for money how far,ham
H0048,heldout,290,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",ham
H0049,heldout,300,I cant pick the phone right now. Pls send a message,ham
H0050,heldout,301,Need a coffee run tomo?Can't believe it's that time of week already,ham
H0051,heldout,303,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",ham
H0052,heldout,308,Jos ask if u wana meet up?,ham
H0053,heldout,309,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,ham
H0054,heldout,314,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,ham
H0055,heldout,325,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,ham
H0056,heldout,326,No problem. How are you doing?,ham
H0057,heldout,332,K.k:)apo k.good movie.,ham
H0058,heldout,341,U calling me right? Call my hand phone...,ham
H0059,heldout,349,One small prestige problem now.,ham
H0060,heldout,351,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,ham
H0061,heldout,352,"Nah can't help you there, I've never had an iphone",ham
H0062,heldout,355,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,ham
