id,split,issue_type,rank,confidence,evidence_1,evidence_2,recommended_action,short_explanation
H0009,heldout,leakage,1,high,Held-out row has 3 training duplicate partner(s): T1821|T3367|T3705,leakage_type=exact_and_near_reviewed_accepted; duplicate_ref=E0009; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0548,heldout,leakage,2,high,Held-out row has 3 training duplicate partner(s): T0266|T4090|T4368,leakage_type=exact_and_near_reviewed_accepted; duplicate_ref=E0049; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0412,heldout,leakage,3,high,Held-out row has 1 training duplicate partner(s): T1319,leakage_type=exact; duplicate_ref=E0164; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0909,heldout,leakage,4,high,Held-out row has 1 training duplicate partner(s): T0683,leakage_type=exact; duplicate_ref=E0091; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0922,heldout,leakage,5,high,Held-out row has 1 training duplicate partner(s): T4292,leakage_type=exact; duplicate_ref=E0285; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0470,heldout,leakage,6,medium,Held-out row has 4 training duplicate partner(s): T0558|T1013|T2733|T3460,leakage_type=near_reviewed_accepted; duplicate_ref=N0099|N0162|N0314|N0315; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0373,heldout,leakage,7,medium,Held-out row has 4 training duplicate partner(s): T0201|T0710|T3494|T3676,leakage_type=near_reviewed_accepted; duplicate_ref=N0030|N0132|N0248|N0249; max_similarity=0.9783,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0644,heldout,leakage,8,medium,Held-out row has 3 training duplicate partner(s): T2769|T3805|T4291,leakage_type=near_reviewed_accepted; duplicate_ref=N0382|N0383|N0384; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0445,heldout,leakage,9,medium,Held-out row has 2 training duplicate partner(s): T0583|T4014,leakage_type=near_reviewed_accepted; duplicate_ref=N0106|N0288; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0663,heldout,leakage,10,medium,Held-out row has 2 training duplicate partner(s): T2627|T4064,leakage_type=near_reviewed_accepted; duplicate_ref=N0378|N0392; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0311,heldout,leakage,11,medium,Held-out row has 2 training duplicate partner(s): T0885|T4223,leakage_type=near_reviewed_accepted; duplicate_ref=N0154|N0221; max_similarity=0.9917,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0945,heldout,leakage,12,medium,Held-out row has 2 training duplicate partner(s): T0885|T4223,leakage_type=near_reviewed_accepted; duplicate_ref=N0156|N0439; max_similarity=0.9917,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0973,heldout,leakage,13,medium,Held-out row has 2 training duplicate partner(s): T0140|T4035,leakage_type=near_reviewed_accepted; duplicate_ref=N0018|N0444; max_similarity=0.9657,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0210,heldout,leakage,14,medium,Held-out row has 2 training duplicate partner(s): T1131|T3445,leakage_type=near_reviewed_accepted; duplicate_ref=N0158|N0159; max_similarity=0.9518,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H1030,heldout,leakage,15,medium,Held-out row has 2 training duplicate partner(s): T1558|T3462,leakage_type=near_reviewed_accepted; duplicate_ref=N0263|N0431; max_similarity=0.9332,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H1038,heldout,leakage,16,medium,Held-out row has 2 training duplicate partner(s): T1558|T3462,leakage_type=near_reviewed_accepted; duplicate_ref=N0264|N0432; max_similarity=0.9332,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0196,heldout,leakage,17,medium,Held-out row has 2 training duplicate partner(s): T0650|T4113,leakage_type=near_reviewed_accepted; duplicate_ref=N0114|N0147; max_similarity=0.9254,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0733,heldout,leakage,18,medium,Held-out row has 2 training duplicate partner(s): T0650|T4113,leakage_type=near_reviewed_accepted; duplicate_ref=N0115|N0405; max_similarity=0.9254,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0821,heldout,leakage,19,medium,Held-out row has 2 training duplicate partner(s): T0650|T4113,leakage_type=near_reviewed_accepted; duplicate_ref=N0116|N0427; max_similarity=0.9254,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0440,heldout,leakage,20,medium,Held-out row has 2 training duplicate partner(s): T1558|T3462,leakage_type=near_reviewed_accepted; duplicate_ref=N0261|N0285; max_similarity=0.9232,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0815,heldout,leakage,21,medium,Held-out row has 2 training duplicate partner(s): T1558|T3462,leakage_type=near_reviewed_accepted; duplicate_ref=N0262|N0423; max_similarity=0.9232,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0266,heldout,leakage,22,medium,Held-out row has 2 training duplicate partner(s): T1209|T2403,leakage_type=near_reviewed_accepted; duplicate_ref=N0184|N0185; max_similarity=0.9222,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0620,heldout,leakage,23,medium,Held-out row has 2 training duplicate partner(s): T1209|T2403,leakage_type=near_reviewed_accepted; duplicate_ref=N0211|N0356; max_similarity=0.9222,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0908,heldout,leakage,24,medium,Held-out row has 1 training duplicate partner(s): T4439,leakage_type=near_reviewed_accepted; duplicate_ref=N0434; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0451,heldout,leakage,25,medium,Held-out row has 1 training duplicate partner(s): T1780,leakage_type=near_reviewed_accepted; duplicate_ref=N0289; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0561,heldout,leakage,26,medium,Held-out row has 1 training duplicate partner(s): T2298,leakage_type=near_reviewed_accepted; duplicate_ref=N0350; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0645,heldout,leakage,27,medium,Held-out row has 1 training duplicate partner(s): T2413,leakage_type=near_reviewed_accepted; duplicate_ref=N0358; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0738,heldout,leakage,28,medium,Held-out row has 1 training duplicate partner(s): T0218,leakage_type=near_reviewed_accepted; duplicate_ref=N0033; max_similarity=0.9958,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0378,heldout,leakage,29,medium,Held-out row has 1 training duplicate partner(s): T4156,leakage_type=near_reviewed_accepted; duplicate_ref=N0251; max_similarity=0.9943,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0610,heldout,leakage,30,medium,Held-out row has 1 training duplicate partner(s): T4156,leakage_type=near_reviewed_accepted; duplicate_ref=N0364; max_similarity=0.9943,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0867,heldout,leakage,31,medium,Held-out row has 1 training duplicate partner(s): T2901,leakage_type=near_reviewed_accepted; duplicate_ref=N0398; max_similarity=0.9855,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0215,heldout,leakage,32,medium,Held-out row has 1 training duplicate partner(s): T2812,leakage_type=near_reviewed_accepted; duplicate_ref=N0160; max_similarity=0.9850,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0168,heldout,leakage,33,medium,Held-out row has 1 training duplicate partner(s): T1285,leakage_type=near_reviewed_accepted; duplicate_ref=N0129; max_similarity=0.9829,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0767,heldout,leakage,34,medium,Held-out row has 1 training duplicate partner(s): T1548,leakage_type=near_reviewed_accepted; duplicate_ref=N0260; max_similarity=0.9804,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0778,heldout,leakage,35,medium,Held-out row has 1 training duplicate partner(s): T0484,leakage_type=near_reviewed_accepted; duplicate_ref=N0087; max_similarity=0.9765,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0019,heldout,leakage,36,medium,Held-out row has 1 training duplicate partner(s): T2655,leakage_type=near_reviewed_accepted; duplicate_ref=N0012; max_similarity=0.9737,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
