pair_key,id_a,id_b,pair_id,review_decision,review_category,reviewer,review_notes,recommended_action,confidence
T1545|T3892,T1545,T3892,N0293,rejected_false_positive,generic_short_text,Codex-assisted manual review,"Manual review found only the generic acknowledgement 'Ok' with punctuation variation. The pair has no specific source/template/content anchor; exact duplicates of this phrase remain objective string duplicates, but this non-exact variant is excluded from near-duplicate evidence.",exclude_from_duplicate_evidence,high
T3609|T3892,T3609,T3892,N0439,rejected_false_positive,generic_short_text,Codex-assisted manual review,"Manual review found only the generic acknowledgement 'Ok' with punctuation variation. The pair has no specific source/template/content anchor; exact duplicates of this phrase remain objective string duplicates, but this non-exact variant is excluded from near-duplicate evidence.",exclude_from_duplicate_evidence,high
H0009|T1821,H0009,T1821,N0001,accepted,minor_personalization_change,Codex-assisted manual review,"Same specific ham message with only a name, addressee, punctuation, casing, or small wording detail changed.",treat_as_near_duplicate_leakage_candidate,medium
H0009|T3367,H0009,T3367,N0003,accepted,minor_personalization_change,Codex-assisted manual review,"Same specific ham message with only a name, addressee, punctuation, casing, or small wording detail changed.",treat_as_near_duplicate_leakage_candidate,medium
H0019|T2655,H0019,T2655,N0012,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high
H0022|T1646,H0022,T1646,N0016,accepted,minor_personalization_change,Codex-assisted manual review,"Same specific ham message with only a name, addressee, punctuation, casing, or small wording detail changed.",treat_as_near_duplicate_leakage_candidate,medium
H0031|T0488,H0031,T0488,N0023,accepted,minor_personalization_change,Codex-assisted manual review,"Same specific ham message with only a name, addressee, punctuation, casing, or small wording detail changed.",treat_as_near_duplicate_leakage_candidate,medium
H0114|T0998,H0114,T0998,N0094,accepted,minor_personalization_change,Codex-assisted manual review,"Same specific ham message with only a name, addressee, punctuation, casing, or small wording detail changed.",treat_as_near_duplicate_leakage_candidate,medium
H0136|T4269,H0136,T4269,N0102,accepted,minor_personalization_change,Codex-assisted manual review,"Same specific ham message with only a name, addressee, punctuation, casing, or small wording detail changed.",treat_as_near_duplicate_leakage_candidate,medium
H0152|T0488,T0488,H0152,N0091,accepted,minor_personalization_change,Codex-assisted manual review,"Same specific ham message with only a name, addressee, punctuation, casing, or small wording detail changed.",treat_as_near_duplicate_leakage_candidate,medium
H0153|T0382,T0382,H0153,N0080,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high
H0160|T0520,T0520,H0160,N0096,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high
H0168|T1285,H0168,T1285,N0129,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high
H0196|T0650,T0650,H0196,N0114,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high
H0196|T4113,H0196,T4113,N0147,accepted,same_spam_campaign_template,Codex-assisted manual review,"Same spam campaign/template with changed phone numbers, URLs, reference IDs, amounts, dates, names, formatting, casing, or minor wording.",treat_as_near_duplicate_leakage_candidate,high
H0207|T1606,H0207,T1606,N0153,accepted,minor_personalization_change,Codex-assisted manual review,"Same specific ham message with only a name, addressee, punctuation, casing, or small wording detail changed.",treat_as_near_duplicate_leakage_candidate,medium
