id,split,uci_row_number,label,text,word_p_spam,word_pred,char_p_spam,char_pred,prediction_source,mean_p_spam,opposite_model_score,word_model_opposes,char_model_opposes,models_agree_opposite,opposite_neighbor_fraction,closest_opposite_id,closest_opposite_label,closest_opposite_similarity,neighbor_signal_opposes,automated_signal_count,neighbor_ids,neighbor_labels,neighbor_similarities,model_disagreement,distance_to_boundary,neighbor_mixedness,ambiguity_score
H0935,heldout,4703,ham,I liked the new mobile,0.4345677578696548,ham,0.5273291533019913,spam,fit-all-train,0.480948455585823,0.480948455585823,False,True,False,0.4824049768822607,H0891,spam,0.27291848772163463,False,1,T3887|H0891|T3205|T3209|T3348,ham|spam|ham|spam|spam,0.5647|0.2729|0.2656|0.2514|0.2495,True,0.019051544414177002,0.9648099537645214,1.7478208926774546
T0935,train,1155,spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m),0.4428982358315815,ham,0.5423869357400809,spam,5-fold-oof,0.4926425857858312,0.5073574142141688,True,False,False,0.5770142019580133,H1020,ham,0.16402522811823017,False,1,T0848|H1020|T3018|T3948|T1683,spam|ham|ham|spam|ham,0.1836|0.1640|0.1633|0.1621|0.1443,True,0.0073574142141688,0.8459715960839733,1.7236738100052515
T3511,train,4374,spam,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!",0.554217506492687,spam,0.440937371893163,ham,5-fold-oof,0.49757743919292496,0.502422560807075,False,True,False,0.6174290884892938,T4341,ham,0.1884043696462906,False,1,T1073|T4341|T4125|H0608|T0114,spam|ham|ham|ham|ham,0.4095|0.1884|0.1604|0.1573|0.1547,True,0.002422560807075036,0.7651418230214124,1.701211607594415
T0660,train,816,spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",0.6001556918395383,spam,0.3621159927257866,ham,5-fold-oof,0.4811358422826625,0.5188641577173375,False,True,False,0.3866546285845047,H0421,ham,0.1665184420780037,False,1,T2875|H0421|T0928|T1889|T0047,spam|ham|spam|ham|spam,0.2022|0.1665|0.1594|0.1568|0.1513,True,0.018864157717337515,0.7733092571690094,1.6715953874329288
H0146,heldout,762,spam,"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply.",0.600756930177539,spam,0.4445716628880646,ham,fit-all-train,0.5226642965328018,0.4773357034671982,False,True,False,0.6167123971301641,T1833,ham,0.26791163257701645,False,1,T1833|T3023|T0189|T1474|T2878,ham|spam|ham|ham|spam,0.2679|0.2281|0.1807|0.1643|0.1528,True,0.022664296532801775,0.7665752057396718,1.6613014892302653
T0712,train,882,spam,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,0.6148475690062326,spam,0.3540974913413101,ham,5-fold-oof,0.48447253017377134,0.5155274698262287,False,True,False,0.3511844578755575,T1304,ham,0.22399234013603586,False,1,T3591|T0141|T3724|T1304|T3501,spam|spam|spam|ham|ham,0.2956|0.2695|0.2516|0.2240|0.2180,True,0.015527469826228657,0.702368915751115,1.6498926266479885
H0151,heldout,789,spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),0.5622279061517449,spam,0.3673334678250162,ham,fit-all-train,0.46478068698838054,0.5352193130116194,False,True,False,0.6254805978554951,T1910,ham,0.20768052711938112,False,1,H0181|T1910|T4276|H0831|T1607,spam|ham|ham|ham|ham,0.4763|0.2077|0.2043|0.1933|0.1901,True,0.03521931301161946,0.7490388042890097,1.629176895692365
T2259,train,2805,spam,FreeMsg>FAV XMAS TONES!Reply REAL,0.4704565365912369,ham,0.6328025727792658,spam,5-fold-oof,0.5516295546852513,0.4483704453147487,True,False,False,0.3715718442472611,T0804,ham,0.2042698357269659,False,1,T1667|T0804|T1862|H0377|T3409,spam|ham|ham|spam|spam,0.3119|0.2043|0.2043|0.1899|0.1892,True,0.05162955468525132,0.7431436884945222,1.5939983660273063
H0181,heldout,944,spam,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),0.5939435406754905,spam,0.4752049037900886,ham,fit-all-train,0.5345742222327896,0.4654257777672104,False,True,False,0.6758966656039881,T3536,ham,0.3076990034778413,True,2,H0151|T3536|T1607|T0470|H0670,spam|ham|ham|ham|ham,0.4763|0.3077|0.2406|0.2328|0.2121,True,0.03457422223278961,0.6482066687920238,1.5901342230512303
T2758,train,3423,spam,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,0.4891100271839933,ham,0.5229652461306762,spam,5-fold-oof,0.5060376366573347,0.4939623633426653,True,False,False,0.7483771341450755,H0267,ham,0.23044211066559772,False,1,T1660|H0267|T3406|T3006|T2852,spam|ham|ham|ham|ham,0.2763|0.2304|0.1971|0.1971|0.1971,True,0.0060376366573346996,0.5032457317098491,1.5892230193692702
H0944,heldout,4753,spam,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,0.5042017149463858,spam,0.4848229635197865,ham,fit-all-train,0.49451233923308613,0.5054876607669139,False,True,False,0.2144496416803464,T1304,ham,0.22748878453058397,False,1,T2153|T1304|T1807|T3055|T3379,spam|ham|spam|spam|spam,0.2716|0.2275|0.1932|0.1842|0.1842,True,0.005487660766913871,0.42889928336069283,1.5605843918104494
